
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
18,,Surface,3,Image 1,1,2,
120,,Surface,3,Image 1,1,3,
79,,Surface,3,Image 1,1,4,
118,,Surface,3,Image 1,1,5,
113,,Surface,3,Image 1,1,6,
93,,Surface,3,Image 1,1,7,
129,,Surface,3,Image 1,1,8,
102,,Surface,3,Image 1,1,10,
89,,Surface,3,Image 1,1,11,
70,,Surface,3,Image 1,1,12,
89,,Surface,3,Image 1,1,13,
103,,Surface,3,Image 1,1,18,
143,,Surface,3,Image 1,1,19,
116,,Surface,3,Image 1,1,21,
136,,Surface,3,Image 1,1,22,
95,,Surface,3,Image 1,1,24,
120,,Surface,3,Image 1,1,25,
2,,Surface,3,Image 1,1,26,
128,,Surface,3,Image 1,1,28,
100,,Surface,3,Image 1,1,29,
40,,Surface,3,Image 1,1,35,
10,,Surface,3,Image 1,1,37,
89,,Surface,3,Image 1,1,38,
21,,Surface,3,Image 1,1,40,
0,,Surface,3,Image 1,1,45,
127,,Surface,3,Image 1,1,46,
0,,Surface,3,Image 1,1,49,
125,,Surface,3,Image 1,1,52,
98,,Surface,3,Image 1,1,54,
103,,Surface,3,Image 1,1,58,
96,,Surface,3,Image 1,1,60,
90,,Surface,3,Image 1,1,61,
136,,Surface,3,Image 1,1,63,
0,,Surface,3,Image 1,1,64,
43,,Surface,3,Image 1,1,65,
128,,Surface,3,Image 1,1,67,
84,,Surface,3,Image 1,1,71,
124,,Surface,3,Image 1,1,72,
90,,Surface,3,Image 1,1,73,
101,,Surface,3,Image 1,1,74,
80,,Surface,3,Image 1,1,76,
114,,Surface,3,Image 1,1,77,
97,,Surface,3,Image 1,1,79,
111,,Surface,3,Image 1,1,81,
0,,Surface,3,Image 1,1,82,
30,,Surface,3,Image 1,1,88,
170,,Surface,3,Image 1,1,89,
105,,Surface,3,Image 1,1,91,
0,,Surface,3,Image 1,1,93,
104,,Surface,3,Image 1,1,97,
95,,Surface,3,Image 1,1,100,
94,,Surface,3,Image 1,1,101,
95,,Surface,3,Image 1,1,102,
41,,Surface,3,Image 1,1,103,
0,,Surface,3,Image 1,1,106,
82,,Surface,3,Image 1,1,107,
108,,Surface,3,Image 1,1,110,
69,,Surface,3,Image 1,1,111,
36,,Surface,3,Image 1,1,112,
93,,Surface,3,Image 1,1,113,
120,,Surface,3,Image 1,1,118,
88,,Surface,3,Image 1,1,119,
86,,Surface,3,Image 1,1,120,
123,,Surface,3,Image 1,1,122,
104,,Surface,3,Image 1,1,123,
46,,Surface,3,Image 1,1,124,
0,,Surface,3,Image 1,1,128,
