
Intensity Max Ch=28 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
11520,,Surface,28,Image 1,1,334,
11359,,Surface,28,Image 1,1,335,
8297,,Surface,28,Image 1,1,336,
19768,,Surface,28,Image 1,1,337,
16084,,Surface,28,Image 1,1,338,
5393,,Surface,28,Image 1,1,339,
8965,,Surface,28,Image 1,1,340,
4544,,Surface,28,Image 1,1,341,
5521,,Surface,28,Image 1,1,342,
8900,,Surface,28,Image 1,1,343,
16648,,Surface,28,Image 1,1,344,
10059,,Surface,28,Image 1,1,347,
13421,,Surface,28,Image 1,1,348,
8270,,Surface,28,Image 1,1,349,
18019,,Surface,28,Image 1,1,351,
8796,,Surface,28,Image 1,1,355,
4027,,Surface,28,Image 1,1,356,
12871,,Surface,28,Image 1,1,361,
6073,,Surface,28,Image 1,1,362,
8980,,Surface,28,Image 1,1,363,
15767,,Surface,28,Image 1,1,364,
15359,,Surface,28,Image 1,1,365,
17554,,Surface,28,Image 1,1,369,
20979,,Surface,28,Image 1,1,371,
1434,,Surface,28,Image 1,1,372,
6586,,Surface,28,Image 1,1,373,
3869,,Surface,28,Image 1,1,374,
8201,,Surface,28,Image 1,1,376,
8735,,Surface,28,Image 1,1,378,
8558,,Surface,28,Image 1,1,379,
15479,,Surface,28,Image 1,1,381,
7566,,Surface,28,Image 1,1,383,
15228,,Surface,28,Image 1,1,385,
23117,,Surface,28,Image 1,1,386,
7975,,Surface,28,Image 1,1,388,
8140,,Surface,28,Image 1,1,389,
15311,,Surface,28,Image 1,1,390,
5678,,Surface,28,Image 1,1,393,
18955,,Surface,28,Image 1,1,396,
7878,,Surface,28,Image 1,1,397,
5842,,Surface,28,Image 1,1,398,
10829,,Surface,28,Image 1,1,399,
4568,,Surface,28,Image 1,1,400,
27678,,Surface,28,Image 1,1,401,
6759,,Surface,28,Image 1,1,402,
5987,,Surface,28,Image 1,1,405,
24358,,Surface,28,Image 1,1,406,
6048,,Surface,28,Image 1,1,413,
8714,,Surface,28,Image 1,1,420,
8424,,Surface,28,Image 1,1,421,
9109,,Surface,28,Image 1,1,426,
10761,,Surface,28,Image 1,1,427,
9699,,Surface,28,Image 1,1,428,
5722,,Surface,28,Image 1,1,437,
5212,,Surface,28,Image 1,1,442,
6664,,Surface,28,Image 1,1,443,
7476,,Surface,28,Image 1,1,445,
28729,,Surface,28,Image 1,1,447,
5803,,Surface,28,Image 1,1,448,
18947,,Surface,28,Image 1,1,449,
15464,,Surface,28,Image 1,1,453,
8854,,Surface,28,Image 1,1,457,
10790,,Surface,28,Image 1,1,458,
7504,,Surface,28,Image 1,1,459,
4757,,Surface,28,Image 1,1,462,
5308,,Surface,28,Image 1,1,465,
17564,,Surface,28,Image 1,1,469,
15871,,Surface,28,Image 1,1,473,
6576,,Surface,28,Image 1,1,476,
7467,,Surface,28,Image 1,1,478,
14185,,Surface,28,Image 1,1,480,
10018,,Surface,28,Image 1,1,487,
8159,,Surface,28,Image 1,1,488,
6563,,Surface,28,Image 1,1,489,
35490,,Surface,28,Image 1,1,492,
6781,,Surface,28,Image 1,1,494,
16785,,Surface,28,Image 1,1,495,
6996,,Surface,28,Image 1,1,497,
8375,,Surface,28,Image 1,1,498,
5312,,Surface,28,Image 1,1,503,
5385,,Surface,28,Image 1,1,504,
20688,,Surface,28,Image 1,1,506,
6625,,Surface,28,Image 1,1,509,
14061,,Surface,28,Image 1,1,510,
19585,,Surface,28,Image 1,1,511,
8801,,Surface,28,Image 1,1,512,
6550,,Surface,28,Image 1,1,514,
30835,,Surface,28,Image 1,1,515,
5284,,Surface,28,Image 1,1,516,
6701,,Surface,28,Image 1,1,520,
23074,,Surface,28,Image 1,1,521,
7742,,Surface,28,Image 1,1,523,
11049,,Surface,28,Image 1,1,524,
8692,,Surface,28,Image 1,1,525,
3620,,Surface,28,Image 1,1,526,
4696,,Surface,28,Image 1,1,527,
13691,,Surface,28,Image 1,1,528,
15198,,Surface,28,Image 1,1,533,
8390,,Surface,28,Image 1,1,534,
13600,,Surface,28,Image 1,1,535,
4817,,Surface,28,Image 1,1,536,
12991,,Surface,28,Image 1,1,538,
9133,,Surface,28,Image 1,1,539,
16042,,Surface,28,Image 1,1,540,
11277,,Surface,28,Image 1,1,541,
7165,,Surface,28,Image 1,1,542,
5477,,Surface,28,Image 1,1,545,
6169,,Surface,28,Image 1,1,546,
9496,,Surface,28,Image 1,1,548,
11523,,Surface,28,Image 1,1,551,
10230,,Surface,28,Image 1,1,552,
14592,,Surface,28,Image 1,1,554,
15219,,Surface,28,Image 1,1,556,
12647,,Surface,28,Image 1,1,561,
10899,,Surface,28,Image 1,1,562,
12202,,Surface,28,Image 1,1,563,
10211,,Surface,28,Image 1,1,565,
10765,,Surface,28,Image 1,1,567,
6533,,Surface,28,Image 1,1,568,
8669,,Surface,28,Image 1,1,570,
5846,,Surface,28,Image 1,1,572,
6729,,Surface,28,Image 1,1,573,
6617,,Surface,28,Image 1,1,574,
7902,,Surface,28,Image 1,1,576,
13762,,Surface,28,Image 1,1,580,
7948,,Surface,28,Image 1,1,581,
6653,,Surface,28,Image 1,1,582,
7096,,Surface,28,Image 1,1,583,
5611,,Surface,28,Image 1,1,584,
6227,,Surface,28,Image 1,1,588,
5725,,Surface,28,Image 1,1,590,
4813,,Surface,28,Image 1,1,592,
5626,,Surface,28,Image 1,1,594,
11430,,Surface,28,Image 1,1,596,
7323,,Surface,28,Image 1,1,601,
12991,,Surface,28,Image 1,1,602,
10229,,Surface,28,Image 1,1,603,
10311,,Surface,28,Image 1,1,604,
19280,,Surface,28,Image 1,1,607,
19482,,Surface,28,Image 1,1,608,
10598,,Surface,28,Image 1,1,609,
12421,,Surface,28,Image 1,1,610,
21277,,Surface,28,Image 1,1,611,
10966,,Surface,28,Image 1,1,612,
10865,,Surface,28,Image 1,1,613,
11194,,Surface,28,Image 1,1,614,
4922,,Surface,28,Image 1,1,616,
9135,,Surface,28,Image 1,1,617,
10574,,Surface,28,Image 1,1,619,
7618,,Surface,28,Image 1,1,625,
5069,,Surface,28,Image 1,1,627,
5234,,Surface,28,Image 1,1,628,
9156,,Surface,28,Image 1,1,629,
23307,,Surface,28,Image 1,1,630,
8517,,Surface,28,Image 1,1,631,
9169,,Surface,28,Image 1,1,632,
12093,,Surface,28,Image 1,1,634,
13594,,Surface,28,Image 1,1,636,
9667,,Surface,28,Image 1,1,638,
21665,,Surface,28,Image 1,1,640,
5980,,Surface,28,Image 1,1,641,
8154,,Surface,28,Image 1,1,643,
9929,,Surface,28,Image 1,1,644,
30094,,Surface,28,Image 1,1,646,
9625,,Surface,28,Image 1,1,647,
23156,,Surface,28,Image 1,1,651,
4221,,Surface,28,Image 1,1,652,
1144,,Surface,28,Image 1,1,653,
7025,,Surface,28,Image 1,1,654,
14234,,Surface,28,Image 1,1,658,
5077,,Surface,28,Image 1,1,660,
25282,,Surface,28,Image 1,1,662,
5846,,Surface,28,Image 1,1,663,
13644,,Surface,28,Image 1,1,664,
13435,,Surface,28,Image 1,1,666,
8077,,Surface,28,Image 1,1,669,
10627,,Surface,28,Image 1,1,672,
7886,,Surface,28,Image 1,1,673,
3478,,Surface,28,Image 1,1,674,
6414,,Surface,28,Image 1,1,675,
12689,,Surface,28,Image 1,1,676,
5048,,Surface,28,Image 1,1,678,
4620,,Surface,28,Image 1,1,679,
4582,,Surface,28,Image 1,1,680,
7885,,Surface,28,Image 1,1,682,
22707,,Surface,28,Image 1,1,684,
13249,,Surface,28,Image 1,1,685,
6063,,Surface,28,Image 1,1,686,
5964,,Surface,28,Image 1,1,687,
9732,,Surface,28,Image 1,1,688,
29759,,Surface,28,Image 1,1,690,
13935,,Surface,28,Image 1,1,691,
8948,,Surface,28,Image 1,1,693,
10525,,Surface,28,Image 1,1,694,
7387,,Surface,28,Image 1,1,697,
9717,,Surface,28,Image 1,1,699,
7187,,Surface,28,Image 1,1,700,
7997,,Surface,28,Image 1,1,701,
22829,,Surface,28,Image 1,1,702,
9498,,Surface,28,Image 1,1,703,
15463,,Surface,28,Image 1,1,706,
7436,,Surface,28,Image 1,1,709,
10962,,Surface,28,Image 1,1,710,
6246,,Surface,28,Image 1,1,711,
5953,,Surface,28,Image 1,1,712,
20422,,Surface,28,Image 1,1,713,
8920,,Surface,28,Image 1,1,717,
16955,,Surface,28,Image 1,1,719,
11001,,Surface,28,Image 1,1,720,
7262,,Surface,28,Image 1,1,721,
11723,,Surface,28,Image 1,1,723,
8082,,Surface,28,Image 1,1,725,
18716,,Surface,28,Image 1,1,728,
8528,,Surface,28,Image 1,1,730,
7193,,Surface,28,Image 1,1,731,
9355,,Surface,28,Image 1,1,736,
10810,,Surface,28,Image 1,1,737,
15405,,Surface,28,Image 1,1,739,
4667,,Surface,28,Image 1,1,741,
5295,,Surface,28,Image 1,1,744,
21542,,Surface,28,Image 1,1,747,
33266,,Surface,28,Image 1,1,751,
7205,,Surface,28,Image 1,1,752,
12332,,Surface,28,Image 1,1,753,
13714,,Surface,28,Image 1,1,754,
8822,,Surface,28,Image 1,1,755,
9473,,Surface,28,Image 1,1,757,
5213,,Surface,28,Image 1,1,758,
4360,,Surface,28,Image 1,1,759,
7525,,Surface,28,Image 1,1,761,
18911,,Surface,28,Image 1,1,766,
7858,,Surface,28,Image 1,1,772,
5365,,Surface,28,Image 1,1,773,
11389,,Surface,28,Image 1,1,774,
5038,,Surface,28,Image 1,1,775,
9789,,Surface,28,Image 1,1,776,
11135,,Surface,28,Image 1,1,780,
18661,,Surface,28,Image 1,1,786,
8577,,Surface,28,Image 1,1,787,
29860,,Surface,28,Image 1,1,788,
11115,,Surface,28,Image 1,1,791,
7641,,Surface,28,Image 1,1,794,
16805,,Surface,28,Image 1,1,797,
15394,,Surface,28,Image 1,1,798,
19474,,Surface,28,Image 1,1,799,
23090,,Surface,28,Image 1,1,800,
2557,,Surface,28,Image 1,1,801,
4884,,Surface,28,Image 1,1,802,
3204,,Surface,28,Image 1,1,803,
4393,,Surface,28,Image 1,1,804,
7803,,Surface,28,Image 1,1,805,
6885,,Surface,28,Image 1,1,810,
20891,,Surface,28,Image 1,1,811,
16638,,Surface,28,Image 1,1,812,
7861,,Surface,28,Image 1,1,813,
6169,,Surface,28,Image 1,1,814,
5626,,Surface,28,Image 1,1,816,
11570,,Surface,28,Image 1,1,818,
9487,,Surface,28,Image 1,1,819,
6483,,Surface,28,Image 1,1,822,
16072,,Surface,28,Image 1,1,823,
7845,,Surface,28,Image 1,1,824,
4607,,Surface,28,Image 1,1,825,
6670,,Surface,28,Image 1,1,826,
14717,,Surface,28,Image 1,1,827,
10652,,Surface,28,Image 1,1,828,
13597,,Surface,28,Image 1,1,831,
14072,,Surface,28,Image 1,1,834,
12606,,Surface,28,Image 1,1,835,
21480,,Surface,28,Image 1,1,836,
7505,,Surface,28,Image 1,1,838,
11764,,Surface,28,Image 1,1,840,
18400,,Surface,28,Image 1,1,841,
9172,,Surface,28,Image 1,1,843,
9758,,Surface,28,Image 1,1,844,
5798,,Surface,28,Image 1,1,846,
12558,,Surface,28,Image 1,1,848,
3804,,Surface,28,Image 1,1,849,
20834,,Surface,28,Image 1,1,851,
15794,,Surface,28,Image 1,1,852,
9222,,Surface,28,Image 1,1,853,
7802,,Surface,28,Image 1,1,854,
9954,,Surface,28,Image 1,1,855,
15396,,Surface,28,Image 1,1,856,
6725,,Surface,28,Image 1,1,857,
9172,,Surface,28,Image 1,1,859,
20520,,Surface,28,Image 1,1,861,
10630,,Surface,28,Image 1,1,862,
13342,,Surface,28,Image 1,1,863,
8437,,Surface,28,Image 1,1,866,
6447,,Surface,28,Image 1,1,867,
8637,,Surface,28,Image 1,1,869,
15801,,Surface,28,Image 1,1,871,
5423,,Surface,28,Image 1,1,872,
2288,,Surface,28,Image 1,1,873,
21038,,Surface,28,Image 1,1,875,
33122,,Surface,28,Image 1,1,877,
11434,,Surface,28,Image 1,1,878,
7996,,Surface,28,Image 1,1,879,
5044,,Surface,28,Image 1,1,880,
34430,,Surface,28,Image 1,1,881,
19874,,Surface,28,Image 1,1,882,
6834,,Surface,28,Image 1,1,886,
7463,,Surface,28,Image 1,1,887,
4119,,Surface,28,Image 1,1,888,
9416,,Surface,28,Image 1,1,890,
8570,,Surface,28,Image 1,1,891,
15421,,Surface,28,Image 1,1,892,
4455,,Surface,28,Image 1,1,893,
7043,,Surface,28,Image 1,1,894,
3990,,Surface,28,Image 1,1,895,
13675,,Surface,28,Image 1,1,896,
8303,,Surface,28,Image 1,1,898,
8886,,Surface,28,Image 1,1,900,
13004,,Surface,28,Image 1,1,902,
15483,,Surface,28,Image 1,1,903,
5902,,Surface,28,Image 1,1,905,
2898,,Surface,28,Image 1,1,906,
5925,,Surface,28,Image 1,1,911,
4086,,Surface,28,Image 1,1,912,
21359,,Surface,28,Image 1,1,914,
14059,,Surface,28,Image 1,1,915,
10918,,Surface,28,Image 1,1,917,
11806,,Surface,28,Image 1,1,920,
21398,,Surface,28,Image 1,1,921,
4286,,Surface,28,Image 1,1,923,
12147,,Surface,28,Image 1,1,924,
12987,,Surface,28,Image 1,1,925,
8164,,Surface,28,Image 1,1,926,
11876,,Surface,28,Image 1,1,927,
9928,,Surface,28,Image 1,1,929,
7264,,Surface,28,Image 1,1,930,
19754,,Surface,28,Image 1,1,932,
6050,,Surface,28,Image 1,1,939,
10781,,Surface,28,Image 1,1,942,
29332,,Surface,28,Image 1,1,944,
13661,,Surface,28,Image 1,1,945,
6357,,Surface,28,Image 1,1,947,
9894,,Surface,28,Image 1,1,948,
8760,,Surface,28,Image 1,1,952,
7889,,Surface,28,Image 1,1,955,
7985,,Surface,28,Image 1,1,957,
6004,,Surface,28,Image 1,1,958,
9639,,Surface,28,Image 1,1,961,
8647,,Surface,28,Image 1,1,963,
9775,,Surface,28,Image 1,1,964,
20658,,Surface,28,Image 1,1,966,
8466,,Surface,28,Image 1,1,969,
4754,,Surface,28,Image 1,1,972,
3287,,Surface,28,Image 1,1,973,
4492,,Surface,28,Image 1,1,974,
20575,,Surface,28,Image 1,1,975,
4589,,Surface,28,Image 1,1,976,
9666,,Surface,28,Image 1,1,977,
20727,,Surface,28,Image 1,1,978,
15079,,Surface,28,Image 1,1,979,
15664,,Surface,28,Image 1,1,980,
8517,,Surface,28,Image 1,1,981,
5539,,Surface,28,Image 1,1,982,
17898,,Surface,28,Image 1,1,984,
3963,,Surface,28,Image 1,1,985,
10150,,Surface,28,Image 1,1,986,
7441,,Surface,28,Image 1,1,987,
15495,,Surface,28,Image 1,1,988,
4721,,Surface,28,Image 1,1,989,
11539,,Surface,28,Image 1,1,990,
12975,,Surface,28,Image 1,1,992,
5101,,Surface,28,Image 1,1,994,
12750,,Surface,28,Image 1,1,996,
8061,,Surface,28,Image 1,1,1000,
4358,,Surface,28,Image 1,1,1002,
10982,,Surface,28,Image 1,1,1003,
4135,,Surface,28,Image 1,1,1004,
8780,,Surface,28,Image 1,1,1006,
4140,,Surface,28,Image 1,1,1008,
11709,,Surface,28,Image 1,1,1009,
10673,,Surface,28,Image 1,1,1010,
3982,,Surface,28,Image 1,1,1014,
11616,,Surface,28,Image 1,1,1017,
3505,,Surface,28,Image 1,1,1018,
20699,,Surface,28,Image 1,1,1019,
4139,,Surface,28,Image 1,1,1020,
27946,,Surface,28,Image 1,1,1021,
6732,,Surface,28,Image 1,1,1023,
7801,,Surface,28,Image 1,1,1024,
7971,,Surface,28,Image 1,1,1032,
20016,,Surface,28,Image 1,1,1034,
6429,,Surface,28,Image 1,1,1035,
10011,,Surface,28,Image 1,1,1036,
14191,,Surface,28,Image 1,1,1037,
8062,,Surface,28,Image 1,1,1038,
8179,,Surface,28,Image 1,1,1039,
9336,,Surface,28,Image 1,1,1040,
6696,,Surface,28,Image 1,1,1041,
7458,,Surface,28,Image 1,1,1045,
21660,,Surface,28,Image 1,1,1049,
14835,,Surface,28,Image 1,1,1052,
7570,,Surface,28,Image 1,1,1053,
6942,,Surface,28,Image 1,1,1056,
10143,,Surface,28,Image 1,1,1057,
6803,,Surface,28,Image 1,1,1058,
15706,,Surface,28,Image 1,1,1059,
12889,,Surface,28,Image 1,1,1060,
7107,,Surface,28,Image 1,1,1061,
7867,,Surface,28,Image 1,1,1063,
8783,,Surface,28,Image 1,1,1064,
7003,,Surface,28,Image 1,1,1065,
4713,,Surface,28,Image 1,1,1066,
11545,,Surface,28,Image 1,1,1067,
7864,,Surface,28,Image 1,1,1068,
8142,,Surface,28,Image 1,1,1070,
9232,,Surface,28,Image 1,1,1071,
5087,,Surface,28,Image 1,1,1072,
5418,,Surface,28,Image 1,1,1073,
7286,,Surface,28,Image 1,1,1074,
6936,,Surface,28,Image 1,1,1075,
9136,,Surface,28,Image 1,1,1076,
4572,,Surface,28,Image 1,1,1077,
20716,,Surface,28,Image 1,1,1081,
5414,,Surface,28,Image 1,1,1082,
12351,,Surface,28,Image 1,1,1083,
8907,,Surface,28,Image 1,1,1084,
21023,,Surface,28,Image 1,1,1085,
19119,,Surface,28,Image 1,1,1086,
10188,,Surface,28,Image 1,1,1088,
15982,,Surface,28,Image 1,1,1090,
4007,,Surface,28,Image 1,1,1091,
10943,,Surface,28,Image 1,1,1092,
6012,,Surface,28,Image 1,1,1093,
4610,,Surface,28,Image 1,1,1095,
3983,,Surface,28,Image 1,1,1096,
2002,,Surface,28,Image 1,1,1099,
4916,,Surface,28,Image 1,1,1100,
10623,,Surface,28,Image 1,1,1104,
17177,,Surface,28,Image 1,1,1106,
15123,,Surface,28,Image 1,1,1108,
6218,,Surface,28,Image 1,1,1111,
24222,,Surface,28,Image 1,1,1112,
4210,,Surface,28,Image 1,1,1113,
7111,,Surface,28,Image 1,1,1114,
12041,,Surface,28,Image 1,1,1115,
17697,,Surface,28,Image 1,1,1116,
3527,,Surface,28,Image 1,1,1118,
10579,,Surface,28,Image 1,1,1122,
3711,,Surface,28,Image 1,1,1125,
9985,,Surface,28,Image 1,1,1126,
17586,,Surface,28,Image 1,1,1128,
7592,,Surface,28,Image 1,1,1132,
9284,,Surface,28,Image 1,1,1133,
13413,,Surface,28,Image 1,1,1136,
4494,,Surface,28,Image 1,1,1138,
7199,,Surface,28,Image 1,1,1139,
5094,,Surface,28,Image 1,1,1140,
17317,,Surface,28,Image 1,1,1141,
12494,,Surface,28,Image 1,1,1143,
17552,,Surface,28,Image 1,1,1145,
9604,,Surface,28,Image 1,1,1150,
22526,,Surface,28,Image 1,1,1151,
25501,,Surface,28,Image 1,1,1153,
6198,,Surface,28,Image 1,1,1154,
10197,,Surface,28,Image 1,1,1157,
8218,,Surface,28,Image 1,1,1158,
26874,,Surface,28,Image 1,1,1159,
8383,,Surface,28,Image 1,1,1160,
4284,,Surface,28,Image 1,1,1162,
6608,,Surface,28,Image 1,1,1163,
6444,,Surface,28,Image 1,1,1164,
12421,,Surface,28,Image 1,1,1165,
21890,,Surface,28,Image 1,1,1167,
7497,,Surface,28,Image 1,1,1168,
7714,,Surface,28,Image 1,1,1169,
3314,,Surface,28,Image 1,1,1171,
11602,,Surface,28,Image 1,1,1173,
17774,,Surface,28,Image 1,1,1177,
30527,,Surface,28,Image 1,1,1178,
11967,,Surface,28,Image 1,1,1179,
9029,,Surface,28,Image 1,1,1180,
5368,,Surface,28,Image 1,1,1181,
6837,,Surface,28,Image 1,1,1183,
17685,,Surface,28,Image 1,1,1185,
10162,,Surface,28,Image 1,1,1190,
19278,,Surface,28,Image 1,1,1192,
15219,,Surface,28,Image 1,1,1194,
2837,,Surface,28,Image 1,1,1195,
15632,,Surface,28,Image 1,1,1196,
4487,,Surface,28,Image 1,1,1197,
20394,,Surface,28,Image 1,1,1198,
7938,,Surface,28,Image 1,1,1201,
8411,,Surface,28,Image 1,1,1203,
8876,,Surface,28,Image 1,1,1205,
21437,,Surface,28,Image 1,1,1206,
7548,,Surface,28,Image 1,1,1209,
13073,,Surface,28,Image 1,1,1212,
8079,,Surface,28,Image 1,1,1213,
18551,,Surface,28,Image 1,1,1214,
8267,,Surface,28,Image 1,1,1215,
8978,,Surface,28,Image 1,1,1216,
