
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.480508,,Surface,1,437,
0.518612,,Surface,1,442,
0.61436,,Surface,1,443,
0.235771,,Surface,1,445,
0.468858,,Surface,1,447,
0.313379,,Surface,1,448,
0.244064,,Surface,1,449,
0.371065,,Surface,1,453,
0.707096,,Surface,1,457,
0.463552,,Surface,1,458,
0.567125,,Surface,1,459,
0.300759,,Surface,1,462,
0.478255,,Surface,1,465,
0.530753,,Surface,1,469,
0.435914,,Surface,1,473,
0.449949,,Surface,1,476,
0.226314,,Surface,1,478,
0.609388,,Surface,1,480,
0.372875,,Surface,1,487,
0.303244,,Surface,1,488,
0.396267,,Surface,1,489,
0.728589,,Surface,1,492,
0.424722,,Surface,1,494,
0.573279,,Surface,1,495,
0.435409,,Surface,1,497,
0.341564,,Surface,1,498,
0.585437,,Surface,1,503,
0.398858,,Surface,1,504,
0.302127,,Surface,1,506,
0.499633,,Surface,1,509,
0.447841,,Surface,1,510,
0.751354,,Surface,1,511,
0.399219,,Surface,1,512,
0.290945,,Surface,1,514,
0.416402,,Surface,1,515,
0.405872,,Surface,1,516,
0.205855,,Surface,1,520,
0.44627,,Surface,1,521,
0.303171,,Surface,1,523,
0.402652,,Surface,1,524,
0.194255,,Surface,1,525,
0.452018,,Surface,1,526,
0.510411,,Surface,1,527,
0.608179,,Surface,1,528,
0.364552,,Surface,1,533,
0.244185,,Surface,1,534,
0.251478,,Surface,1,535,
0.412356,,Surface,1,536,
0.334512,,Surface,1,538,
0.390988,,Surface,1,539,
0.338763,,Surface,1,540,
0.304922,,Surface,1,541,
0.496598,,Surface,1,542,
0.647337,,Surface,1,545,
0.38652,,Surface,1,546,
0.341472,,Surface,1,548,
0.427798,,Surface,1,551,
0.430456,,Surface,1,552,
0.528334,,Surface,1,554,
0.412644,,Surface,1,556,
0.503016,,Surface,1,561,
0.311939,,Surface,1,562,
0.606063,,Surface,1,563,
0.567322,,Surface,1,565,
0.407278,,Surface,1,567,
0.456914,,Surface,1,568,
0.1936,,Surface,1,570,
0.396688,,Surface,1,572,
0.544269,,Surface,1,573,
0.265265,,Surface,1,574,
0.329138,,Surface,1,576,
0.247271,,Surface,1,580,
0.371309,,Surface,1,581,
0.407774,,Surface,1,582,
0.295417,,Surface,1,583,
0.436989,,Surface,1,584,
0.310855,,Surface,1,588,
0.280974,,Surface,1,590,
0.730799,,Surface,1,592,
0.581881,,Surface,1,594,
0.37058,,Surface,1,596,
0.181138,,Surface,1,601,
0.536796,,Surface,1,602,
0.185176,,Surface,1,603,
0.561635,,Surface,1,604,
0.237161,,Surface,1,607,
0.260154,,Surface,1,608,
0.514584,,Surface,1,609,
0.47369,,Surface,1,610,
0.377729,,Surface,1,611,
0.438579,,Surface,1,612,
0.170137,,Surface,1,613,
0.501544,,Surface,1,614,
0.480106,,Surface,1,616,
0.556955,,Surface,1,617,
0.228735,,Surface,1,619,
0.31725,,Surface,1,625,
0.339436,,Surface,1,627,
0.322395,,Surface,1,628,
0.51502,,Surface,1,629,
0.573555,,Surface,1,630,
0.329423,,Surface,1,631,
0.257123,,Surface,1,632,
0.614274,,Surface,1,634,
0.503435,,Surface,1,636,
0.702518,,Surface,1,638,
0.535198,,Surface,1,640,
0.349754,,Surface,1,641,
0.402469,,Surface,1,643,
0.538086,,Surface,1,644,
0.358639,,Surface,1,646,
0.492618,,Surface,1,647,
0.573323,,Surface,1,651,
0.458978,,Surface,1,652,
0.0904578,,Surface,1,653,
0.257108,,Surface,1,654,
0.613801,,Surface,1,658,
0.731373,,Surface,1,660,
0.577598,,Surface,1,662,
0.323851,,Surface,1,663,
0.508325,,Surface,1,664,
0.260396,,Surface,1,666,
0.510685,,Surface,1,669,
0.668696,,Surface,1,672,
0.389551,,Surface,1,673,
0.457727,,Surface,1,674,
0.236556,,Surface,1,675,
0.329268,,Surface,1,676,
0.268285,,Surface,1,678,
0.471693,,Surface,1,679,
0.222421,,Surface,1,680,
0.453858,,Surface,1,682,
0.227312,,Surface,1,684,
0.455542,,Surface,1,685,
0.628414,,Surface,1,686,
0.370951,,Surface,1,687,
0.460632,,Surface,1,688,
0.338031,,Surface,1,690,
0.275768,,Surface,1,691,
0.294756,,Surface,1,693,
0.394491,,Surface,1,694,
0.432329,,Surface,1,697,
0.483812,,Surface,1,699,
0.365715,,Surface,1,700,
0.540296,,Surface,1,701,
0.227091,,Surface,1,702,
0.606955,,Surface,1,703,
0.39583,,Surface,1,706,
0.458376,,Surface,1,709,
0.431496,,Surface,1,710,
0.463066,,Surface,1,711,
0.466168,,Surface,1,712,
0.607304,,Surface,1,713,
0.814629,,Surface,1,717,
0.699523,,Surface,1,719,
0.679053,,Surface,1,720,
0.407711,,Surface,1,721,
0.466363,,Surface,1,723,
0.233511,,Surface,1,725,
0.580007,,Surface,1,728,
0.368112,,Surface,1,730,
0.370535,,Surface,1,731,
0.331106,,Surface,1,736,
0.479698,,Surface,1,737,
0.464013,,Surface,1,739,
0.438361,,Surface,1,741,
0.420749,,Surface,1,744,
0.267372,,Surface,1,747,
0.528857,,Surface,1,751,
0.359848,,Surface,1,752,
0.389529,,Surface,1,753,
0.440388,,Surface,1,754,
0.443734,,Surface,1,755,
0.647923,,Surface,1,757,
0.338165,,Surface,1,758,
0.611601,,Surface,1,759,
0.294597,,Surface,1,761,
0.42054,,Surface,1,766,
0.191006,,Surface,1,772,
0.202567,,Surface,1,773,
0.400267,,Surface,1,774,
0.456201,,Surface,1,775,
0.327108,,Surface,1,776,
0.595944,,Surface,1,780,
0.750158,,Surface,1,786,
0.515409,,Surface,1,787,
0.508997,,Surface,1,788,
0.520526,,Surface,1,791,
0.506439,,Surface,1,794,
0.455074,,Surface,1,797,
0.485708,,Surface,1,798,
0.21955,,Surface,1,799,
0.360675,,Surface,1,800,
0.671315,,Surface,1,801,
0.303287,,Surface,1,802,
0.397083,,Surface,1,803,
0.28849,,Surface,1,804,
0.463262,,Surface,1,805,
0.334015,,Surface,1,810,
0.347208,,Surface,1,811,
0.302886,,Surface,1,812,
0.410794,,Surface,1,813,
0.540548,,Surface,1,814,
0.425131,,Surface,1,816,
0.570665,,Surface,1,818,
0.35576,,Surface,1,819,
0.275558,,Surface,1,822,
0.430631,,Surface,1,823,
0.516881,,Surface,1,824,
0.264513,,Surface,1,825,
0.795221,,Surface,1,826,
0.687008,,Surface,1,827,
0.335665,,Surface,1,828,
0.363962,,Surface,1,831,
0.716478,,Surface,1,834,
0.41233,,Surface,1,835,
0.445952,,Surface,1,836,
0.318763,,Surface,1,838,
0.364086,,Surface,1,840,
0.158439,,Surface,1,841,
0.650929,,Surface,1,843,
0.250964,,Surface,1,844,
0.291703,,Surface,1,846,
0.36183,,Surface,1,848,
0.762856,,Surface,1,849,
0.598064,,Surface,1,851,
0.22666,,Surface,1,852,
0.373066,,Surface,1,853,
0.322582,,Surface,1,854,
0.281291,,Surface,1,855,
0.396246,,Surface,1,856,
0.264158,,Surface,1,857,
0.647861,,Surface,1,859,
0.795127,,Surface,1,861,
0.298457,,Surface,1,862,
0.456988,,Surface,1,863,
0.404887,,Surface,1,866,
0.403756,,Surface,1,867,
0.463863,,Surface,1,869,
0.513602,,Surface,1,871,
0.514313,,Surface,1,872,
0.246109,,Surface,1,873,
0.590894,,Surface,1,875,
0.566271,,Surface,1,877,
0.375038,,Surface,1,878,
0.398101,,Surface,1,879,
0.193649,,Surface,1,880,
0.437338,,Surface,1,881,
0.363519,,Surface,1,882,
0.253094,,Surface,1,886,
0.561668,,Surface,1,887,
0.311251,,Surface,1,888,
0.585153,,Surface,1,890,
0.338322,,Surface,1,891,
0.348449,,Surface,1,892,
0.690203,,Surface,1,893,
0.427993,,Surface,1,894,
0.290594,,Surface,1,895,
0.42188,,Surface,1,896,
0.200248,,Surface,1,898,
0.349864,,Surface,1,900,
0.419569,,Surface,1,902,
0.334196,,Surface,1,903,
0.450824,,Surface,1,905,
0.428827,,Surface,1,906,
0.309888,,Surface,1,911,
0.42032,,Surface,1,912,
0.441368,,Surface,1,914,
0.255374,,Surface,1,915,
0.494708,,Surface,1,917,
0.689368,,Surface,1,920,
0.402271,,Surface,1,921,
0.591828,,Surface,1,923,
0.550958,,Surface,1,924,
0.534243,,Surface,1,925,
0.471863,,Surface,1,926,
0.471749,,Surface,1,927,
0.516607,,Surface,1,929,
0.250682,,Surface,1,930,
0.323419,,Surface,1,932,
0.274775,,Surface,1,939,
0.407425,,Surface,1,942,
0.252403,,Surface,1,944,
0.362924,,Surface,1,945,
0.504498,,Surface,1,947,
0.348269,,Surface,1,948,
0.456393,,Surface,1,952,
0.364777,,Surface,1,955,
0.397173,,Surface,1,957,
0.553413,,Surface,1,958,
0.213242,,Surface,1,961,
0.237415,,Surface,1,963,
0.669817,,Surface,1,964,
0.397473,,Surface,1,966,
0.580263,,Surface,1,969,
0.348123,,Surface,1,972,
0.624804,,Surface,1,973,
0.244305,,Surface,1,974,
0.624386,,Surface,1,975,
0.248506,,Surface,1,976,
0.400479,,Surface,1,977,
0.649545,,Surface,1,978,
0.230494,,Surface,1,979,
0.505209,,Surface,1,980,
0.313758,,Surface,1,981,
0.436323,,Surface,1,982,
0.261792,,Surface,1,984,
0.373298,,Surface,1,985,
0.413831,,Surface,1,986,
0.337675,,Surface,1,987,
0.220264,,Surface,1,988,
0.222841,,Surface,1,989,
0.489715,,Surface,1,990,
0.272369,,Surface,1,992,
0.433124,,Surface,1,994,
0.393035,,Surface,1,996,
0.496471,,Surface,1,1000,
0.470723,,Surface,1,1002,
0.270723,,Surface,1,1003,
0.460336,,Surface,1,1004,
0.346958,,Surface,1,1006,
0.239585,,Surface,1,1008,
0.402472,,Surface,1,1009,
0.52646,,Surface,1,1010,
0.416708,,Surface,1,1014,
0.413375,,Surface,1,1017,
0.281251,,Surface,1,1018,
0.2797,,Surface,1,1019,
0.378902,,Surface,1,1020,
0.469134,,Surface,1,1021,
