
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.135,13.5681,µm^3,Volume Outside,Image 1,1,,
0.405,19.0365,µm^3,Volume Outside,Image 1,1,,
0.675,25.0402,µm^3,Volume Outside,Image 1,1,,
0.945,31.1125,µm^3,Volume Outside,Image 1,1,,
1.215,37.6234,µm^3,Volume Outside,Image 1,1,,
1.485,44.9158,µm^3,Volume Outside,Image 1,1,,
1.755,52.4104,µm^3,Volume Outside,Image 1,1,,
2.025,60.2148,µm^3,Volume Outside,Image 1,1,,
2.295,68.7469,µm^3,Volume Outside,Image 1,1,,
2.565,77.6809,µm^3,Volume Outside,Image 1,1,,
2.835,87.2787,µm^3,Volume Outside,Image 1,1,,
3.105,97.3788,µm^3,Volume Outside,Image 1,1,,
3.375,107.94,µm^3,Volume Outside,Image 1,1,,
3.645,118.438,µm^3,Volume Outside,Image 1,1,,
3.915,129.923,µm^3,Volume Outside,Image 1,1,,
4.185,142.346,µm^3,Volume Outside,Image 1,1,,
4.455,155.204,µm^3,Volume Outside,Image 1,1,,
4.725,167.4,µm^3,Volume Outside,Image 1,1,,
4.995,180.388,µm^3,Volume Outside,Image 1,1,,
5.265,194.102,µm^3,Volume Outside,Image 1,1,,
5.535,208.198,µm^3,Volume Outside,Image 1,1,,
5.805,222.708,µm^3,Volume Outside,Image 1,1,,
6.075,236.422,µm^3,Volume Outside,Image 1,1,,
6.345,249.367,µm^3,Volume Outside,Image 1,1,,
6.615,262.044,µm^3,Volume Outside,Image 1,1,,
6.885,274.198,µm^3,Volume Outside,Image 1,1,,
7.155,284.276,µm^3,Volume Outside,Image 1,1,,
7.425,294.68,µm^3,Volume Outside,Image 1,1,,
7.695,306.312,µm^3,Volume Outside,Image 1,1,,
7.965,318.461,µm^3,Volume Outside,Image 1,1,,
8.235,331.472,µm^3,Volume Outside,Image 1,1,,
8.505,342.513,µm^3,Volume Outside,Image 1,1,,
8.775,356.113,µm^3,Volume Outside,Image 1,1,,
9.045,365.247,µm^3,Volume Outside,Image 1,1,,
9.315,369.272,µm^3,Volume Outside,Image 1,1,,
9.585,373.864,µm^3,Volume Outside,Image 1,1,,
9.855,374.905,µm^3,Volume Outside,Image 1,1,,
10.125,376.53,µm^3,Volume Outside,Image 1,1,,
10.395,372.439,µm^3,Volume Outside,Image 1,1,,
10.665,368.746,µm^3,Volume Outside,Image 1,1,,
10.935,362.42,µm^3,Volume Outside,Image 1,1,,
11.205,357.924,µm^3,Volume Outside,Image 1,1,,
11.475,349.49,µm^3,Volume Outside,Image 1,1,,
11.745,336.614,µm^3,Volume Outside,Image 1,1,,
12.015,325.515,µm^3,Volume Outside,Image 1,1,,
12.285,312.322,µm^3,Volume Outside,Image 1,1,,
12.555,301.53,µm^3,Volume Outside,Image 1,1,,
12.825,288.915,µm^3,Volume Outside,Image 1,1,,
13.095,278.832,µm^3,Volume Outside,Image 1,1,,
13.365,267.746,µm^3,Volume Outside,Image 1,1,,
13.635,255.289,µm^3,Volume Outside,Image 1,1,,
13.905,245.351,µm^3,Volume Outside,Image 1,1,,
14.175,234.405,µm^3,Volume Outside,Image 1,1,,
14.445,224.759,µm^3,Volume Outside,Image 1,1,,
14.715,213.547,µm^3,Volume Outside,Image 1,1,,
14.985,204.215,µm^3,Volume Outside,Image 1,1,,
15.255,193.961,µm^3,Volume Outside,Image 1,1,,
15.525,185.91,µm^3,Volume Outside,Image 1,1,,
15.795,177.565,µm^3,Volume Outside,Image 1,1,,
16.065,169.594,µm^3,Volume Outside,Image 1,1,,
16.335,165.241,µm^3,Volume Outside,Image 1,1,,
16.605,158.767,µm^3,Volume Outside,Image 1,1,,
16.875,154.412,µm^3,Volume Outside,Image 1,1,,
17.145,152.302,µm^3,Volume Outside,Image 1,1,,
17.415,151.687,µm^3,Volume Outside,Image 1,1,,
17.685,148.015,µm^3,Volume Outside,Image 1,1,,
17.955,146.194,µm^3,Volume Outside,Image 1,1,,
18.225,146.259,µm^3,Volume Outside,Image 1,1,,
18.495,143.384,µm^3,Volume Outside,Image 1,1,,
18.765,141.752,µm^3,Volume Outside,Image 1,1,,
19.035,141.885,µm^3,Volume Outside,Image 1,1,,
19.305,142.788,µm^3,Volume Outside,Image 1,1,,
19.575,139.748,µm^3,Volume Outside,Image 1,1,,
19.845,135.471,µm^3,Volume Outside,Image 1,1,,
20.115,128.593,µm^3,Volume Outside,Image 1,1,,
20.385,120.24,µm^3,Volume Outside,Image 1,1,,
20.655,108.377,µm^3,Volume Outside,Image 1,1,,
20.925,97.445,µm^3,Volume Outside,Image 1,1,,
21.195,87.6499,µm^3,Volume Outside,Image 1,1,,
21.465,76.3689,µm^3,Volume Outside,Image 1,1,,
21.735,66.3374,µm^3,Volume Outside,Image 1,1,,
22.005,57.9277,µm^3,Volume Outside,Image 1,1,,
22.275,50.9195,µm^3,Volume Outside,Image 1,1,,
22.545,44.122,µm^3,Volume Outside,Image 1,1,,
22.815,38.645,µm^3,Volume Outside,Image 1,1,,
