
Intensity Max Ch=33 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
1909,,Surface,33,Image 1,1,6885,
8723,,Surface,33,Image 1,1,6886,
12996,,Surface,33,Image 1,1,6887,
10688,,Surface,33,Image 1,1,6888,
555,,Surface,33,Image 1,1,6889,
3544,,Surface,33,Image 1,1,6890,
3830,,Surface,33,Image 1,1,6891,
12285,,Surface,33,Image 1,1,6892,
10182,,Surface,33,Image 1,1,6894,
12247,,Surface,33,Image 1,1,6895,
4691,,Surface,33,Image 1,1,6896,
8866,,Surface,33,Image 1,1,6897,
2637,,Surface,33,Image 1,1,6898,
9917,,Surface,33,Image 1,1,6899,
9276,,Surface,33,Image 1,1,6900,
4215,,Surface,33,Image 1,1,6901,
4274,,Surface,33,Image 1,1,6902,
4655,,Surface,33,Image 1,1,6904,
11167,,Surface,33,Image 1,1,6905,
8569,,Surface,33,Image 1,1,6906,
10417,,Surface,33,Image 1,1,6907,
8207,,Surface,33,Image 1,1,6908,
5246,,Surface,33,Image 1,1,6909,
4871,,Surface,33,Image 1,1,6910,
7897,,Surface,33,Image 1,1,6911,
4826,,Surface,33,Image 1,1,6912,
2405,,Surface,33,Image 1,1,6914,
5616,,Surface,33,Image 1,1,6915,
13052,,Surface,33,Image 1,1,6917,
3213,,Surface,33,Image 1,1,6919,
8750,,Surface,33,Image 1,1,6920,
10417,,Surface,33,Image 1,1,6921,
15405,,Surface,33,Image 1,1,6922,
5226,,Surface,33,Image 1,1,6923,
3216,,Surface,33,Image 1,1,6924,
11240,,Surface,33,Image 1,1,6925,
10539,,Surface,33,Image 1,1,6926,
13169,,Surface,33,Image 1,1,6927,
13683,,Surface,33,Image 1,1,6928,
9163,,Surface,33,Image 1,1,6929,
7980,,Surface,33,Image 1,1,6930,
5963,,Surface,33,Image 1,1,6931,
4068,,Surface,33,Image 1,1,6932,
9110,,Surface,33,Image 1,1,6933,
12819,,Surface,33,Image 1,1,6934,
3761,,Surface,33,Image 1,1,6935,
9042,,Surface,33,Image 1,1,6936,
9517,,Surface,33,Image 1,1,6937,
12149,,Surface,33,Image 1,1,6938,
10140,,Surface,33,Image 1,1,6939,
10368,,Surface,33,Image 1,1,6941,
12143,,Surface,33,Image 1,1,6942,
13139,,Surface,33,Image 1,1,6943,
10367,,Surface,33,Image 1,1,6944,
9979,,Surface,33,Image 1,1,6945,
2044,,Surface,33,Image 1,1,6946,
14657,,Surface,33,Image 1,1,6947,
10677,,Surface,33,Image 1,1,6948,
7311,,Surface,33,Image 1,1,6949,
10661,,Surface,33,Image 1,1,6950,
3310,,Surface,33,Image 1,1,6951,
7557,,Surface,33,Image 1,1,6952,
8593,,Surface,33,Image 1,1,6953,
265,,Surface,33,Image 1,1,6954,
3284,,Surface,33,Image 1,1,6955,
7175,,Surface,33,Image 1,1,6956,
11105,,Surface,33,Image 1,1,6957,
14271,,Surface,33,Image 1,1,6958,
