
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
14.3086,µm,Surface,Position,1,6886,
19.2029,µm,Surface,Position,1,6887,
14.1378,µm,Surface,Position,1,6888,
10.7944,µm,Surface,Position,1,6889,
30.3391,µm,Surface,Position,1,6890,
25.375,µm,Surface,Position,1,6891,
11.8345,µm,Surface,Position,1,6892,
16.0907,µm,Surface,Position,1,6894,
20.4167,µm,Surface,Position,1,6895,
28.7263,µm,Surface,Position,1,6896,
26.2891,µm,Surface,Position,1,6897,
27.2444,µm,Surface,Position,1,6898,
13.0614,µm,Surface,Position,1,6899,
21.3341,µm,Surface,Position,1,6900,
16.875,µm,Surface,Position,1,6901,
14.1562,µm,Surface,Position,1,6902,
13.9447,µm,Surface,Position,1,6904,
18.7188,µm,Surface,Position,1,6905,
13.3,µm,Surface,Position,1,6906,
15.3577,µm,Surface,Position,1,6907,
16.9601,µm,Surface,Position,1,6908,
30.8948,µm,Surface,Position,1,6909,
28.9503,µm,Surface,Position,1,6910,
22.5592,µm,Surface,Position,1,6911,
17.2528,µm,Surface,Position,1,6912,
29.941,µm,Surface,Position,1,6914,
22.2655,µm,Surface,Position,1,6915,
20.3526,µm,Surface,Position,1,6917,
28.3319,µm,Surface,Position,1,6919,
30.4637,µm,Surface,Position,1,6920,
21.7474,µm,Surface,Position,1,6921,
21.0707,µm,Surface,Position,1,6922,
31.4509,µm,Surface,Position,1,6923,
26.9712,µm,Surface,Position,1,6924,
22.2857,µm,Surface,Position,1,6925,
18.155,µm,Surface,Position,1,6926,
22.0207,µm,Surface,Position,1,6927,
16.253,µm,Surface,Position,1,6928,
23.5417,µm,Surface,Position,1,6929,
13.5368,µm,Surface,Position,1,6930,
28.599,µm,Surface,Position,1,6931,
29.7789,µm,Surface,Position,1,6932,
22.88,µm,Surface,Position,1,6933,
14.1521,µm,Surface,Position,1,6934,
13.5058,µm,Surface,Position,1,6935,
23.7021,µm,Surface,Position,1,6936,
23.1997,µm,Surface,Position,1,6937,
17.3226,µm,Surface,Position,1,6938,
20.6939,µm,Surface,Position,1,6939,
18.0712,µm,Surface,Position,1,6941,
19.6299,µm,Surface,Position,1,6942,
16.4102,µm,Surface,Position,1,6943,
11.1771,µm,Surface,Position,1,6944,
18.2213,µm,Surface,Position,1,6945,
22.808,µm,Surface,Position,1,6946,
18.315,µm,Surface,Position,1,6947,
13.9942,µm,Surface,Position,1,6948,
17.8341,µm,Surface,Position,1,6949,
10.3827,µm,Surface,Position,1,6950,
