
Intensity Median Ch=9 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
3232,,Surface,9,Image 1,1,6886,
3084,,Surface,9,Image 1,1,6887,
6416,,Surface,9,Image 1,1,6888,
153,,Surface,9,Image 1,1,6889,
670,,Surface,9,Image 1,1,6890,
299,,Surface,9,Image 1,1,6891,
9784,,Surface,9,Image 1,1,6892,
3848,,Surface,9,Image 1,1,6894,
5152,,Surface,9,Image 1,1,6895,
1,,Surface,9,Image 1,1,6896,
3852,,Surface,9,Image 1,1,6897,
85,,Surface,9,Image 1,1,6898,
2728,,Surface,9,Image 1,1,6899,
6916,,Surface,9,Image 1,1,6900,
6416,,Surface,9,Image 1,1,6901,
2727,,Surface,9,Image 1,1,6902,
2950,,Surface,9,Image 1,1,6904,
2904,,Surface,9,Image 1,1,6905,
2916,,Surface,9,Image 1,1,6906,
5412,,Surface,9,Image 1,1,6907,
3900,,Surface,9,Image 1,1,6908,
1482,,Surface,9,Image 1,1,6909,
2638,,Surface,9,Image 1,1,6910,
4332,,Surface,9,Image 1,1,6911,
1190,,Surface,9,Image 1,1,6912,
1662,,Surface,9,Image 1,1,6914,
1794,,Surface,9,Image 1,1,6915,
8328,,Surface,9,Image 1,1,6917,
542,,Surface,9,Image 1,1,6919,
3770,,Surface,9,Image 1,1,6920,
4048,,Surface,9,Image 1,1,6921,
3952,,Surface,9,Image 1,1,6922,
2436,,Surface,9,Image 1,1,6923,
1884,,Surface,9,Image 1,1,6924,
5304,,Surface,9,Image 1,1,6925,
5320,,Surface,9,Image 1,1,6926,
4828,,Surface,9,Image 1,1,6927,
4136,,Surface,9,Image 1,1,6928,
892,,Surface,9,Image 1,1,6929,
7484,,Surface,9,Image 1,1,6930,
1382,,Surface,9,Image 1,1,6931,
568,,Surface,9,Image 1,1,6932,
7668,,Surface,9,Image 1,1,6933,
2848,,Surface,9,Image 1,1,6934,
688,,Surface,9,Image 1,1,6935,
4676,,Surface,9,Image 1,1,6936,
4812,,Surface,9,Image 1,1,6937,
4056,,Surface,9,Image 1,1,6938,
3172,,Surface,9,Image 1,1,6939,
6876,,Surface,9,Image 1,1,6941,
6364,,Surface,9,Image 1,1,6942,
7348,,Surface,9,Image 1,1,6943,
2968,,Surface,9,Image 1,1,6944,
1004,,Surface,9,Image 1,1,6945,
174,,Surface,9,Image 1,1,6946,
9368,,Surface,9,Image 1,1,6947,
3556,,Surface,9,Image 1,1,6948,
492,,Surface,9,Image 1,1,6949,
4264,,Surface,9,Image 1,1,6950,
636,,Surface,9,Image 1,1,6951,
4606,,Surface,9,Image 1,1,6952,
3516,,Surface,9,Image 1,1,6953,
727,,Surface,9,Image 1,1,6954,
2437,,Surface,9,Image 1,1,6955,
3068,,Surface,9,Image 1,1,6956,
884,,Surface,9,Image 1,1,6957,
4952,,Surface,9,Image 1,1,6958,
1572,,Surface,9,Image 1,1,6959,
3948,,Surface,9,Image 1,1,6960,
1900,,Surface,9,Image 1,1,6961,
4744,,Surface,9,Image 1,1,6962,
3808,,Surface,9,Image 1,1,6963,
1474,,Surface,9,Image 1,1,6964,
4278,,Surface,9,Image 1,1,6967,
1752,,Surface,9,Image 1,1,6969,
2536,,Surface,9,Image 1,1,6970,
6708,,Surface,9,Image 1,1,6971,
1356,,Surface,9,Image 1,1,6973,
0.5,,Surface,9,Image 1,1,6974,
1056,,Surface,9,Image 1,1,6975,
5128,,Surface,9,Image 1,1,6976,
2132,,Surface,9,Image 1,1,6977,
4300,,Surface,9,Image 1,1,6978,
932,,Surface,9,Image 1,1,6979,
2520,,Surface,9,Image 1,1,6980,
2448,,Surface,9,Image 1,1,6981,
582,,Surface,9,Image 1,1,6982,
1458,,Surface,9,Image 1,1,6983,
3956,,Surface,9,Image 1,1,6984,
4220,,Surface,9,Image 1,1,6985,
20.5,,Surface,9,Image 1,1,6986,
1648,,Surface,9,Image 1,1,6987,
3250,,Surface,9,Image 1,1,6988,
2512,,Surface,9,Image 1,1,6989,
2414,,Surface,9,Image 1,1,6990,
8144,,Surface,9,Image 1,1,6991,
1668,,Surface,9,Image 1,1,6992,
10888,,Surface,9,Image 1,1,6993,
4392,,Surface,9,Image 1,1,6994,
5412,,Surface,9,Image 1,1,6995,
1020,,Surface,9,Image 1,1,6996,
356,,Surface,9,Image 1,1,6997,
1,,Surface,9,Image 1,1,6998,
1354,,Surface,9,Image 1,1,6999,
9960,,Surface,9,Image 1,1,7000,
1437,,Surface,9,Image 1,1,7001,
1126,,Surface,9,Image 1,1,7002,
6456,,Surface,9,Image 1,1,7003,
5164,,Surface,9,Image 1,1,7004,
2080,,Surface,9,Image 1,1,7005,
726,,Surface,9,Image 1,1,7006,
497,,Surface,9,Image 1,1,7007,
4364,,Surface,9,Image 1,1,7008,
1287,,Surface,9,Image 1,1,7009,
3444,,Surface,9,Image 1,1,7011,
5432,,Surface,9,Image 1,1,7012,
6604,,Surface,9,Image 1,1,7013,
3148,,Surface,9,Image 1,1,7014,
5000,,Surface,9,Image 1,1,7015,
5584,,Surface,9,Image 1,1,7016,
660,,Surface,9,Image 1,1,7017,
1264,,Surface,9,Image 1,1,7018,
2344,,Surface,9,Image 1,1,7019,
4212,,Surface,9,Image 1,1,7020,
296,,Surface,9,Image 1,1,7021,
7016,,Surface,9,Image 1,1,7022,
998,,Surface,9,Image 1,1,7023,
1920,,Surface,9,Image 1,1,7024,
1730,,Surface,9,Image 1,1,7025,
596,,Surface,9,Image 1,1,7026,
1960,,Surface,9,Image 1,1,7027,
2524,,Surface,9,Image 1,1,7028,
3980,,Surface,9,Image 1,1,7029,
