
Area
 ==================== 
Area,Unit,Category,Time,ID,
8.11231,µm^2,Surface,1,6894,
17.5822,µm^2,Surface,1,6895,
6.90606,µm^2,Surface,1,6896,
30.6479,µm^2,Surface,1,6897,
5.71032,µm^2,Surface,1,6898,
8.53798,µm^2,Surface,1,6899,
9.00529,µm^2,Surface,1,6900,
1.3923,µm^2,Surface,1,6901,
1.13816,µm^2,Surface,1,6902,
9.64234,µm^2,Surface,1,6904,
9.63556,µm^2,Surface,1,6905,
1.57448,µm^2,Surface,1,6906,
21.6543,µm^2,Surface,1,6907,
16.1797,µm^2,Surface,1,6908,
12.3679,µm^2,Surface,1,6909,
7.25994,µm^2,Surface,1,6910,
2.33924,µm^2,Surface,1,6911,
4.17308,µm^2,Surface,1,6912,
10.6858,µm^2,Surface,1,6914,
13.8817,µm^2,Surface,1,6915,
22.9563,µm^2,Surface,1,6917,
8.53515,µm^2,Surface,1,6919,
6.12775,µm^2,Surface,1,6920,
14.6208,µm^2,Surface,1,6921,
13.5001,µm^2,Surface,1,6922,
7.9855,µm^2,Surface,1,6923,
1.73139,µm^2,Surface,1,6924,
12.6488,µm^2,Surface,1,6925,
15.5282,µm^2,Surface,1,6926,
21.8732,µm^2,Surface,1,6927,
35.1608,µm^2,Surface,1,6928,
4.84932,µm^2,Surface,1,6929,
2.30237,µm^2,Surface,1,6930,
4.68034,µm^2,Surface,1,6931,
12.5671,µm^2,Surface,1,6932,
5.10289,µm^2,Surface,1,6933,
21.504,µm^2,Surface,1,6934,
7.05099,µm^2,Surface,1,6935,
9.29442,µm^2,Surface,1,6936,
15.9155,µm^2,Surface,1,6937,
32.9448,µm^2,Surface,1,6938,
18.2488,µm^2,Surface,1,6939,
6.15375,µm^2,Surface,1,6941,
22.9124,µm^2,Surface,1,6942,
9.54574,µm^2,Surface,1,6943,
17.6999,µm^2,Surface,1,6944,
69.0562,µm^2,Surface,1,6945,
5.55789,µm^2,Surface,1,6946,
9.21189,µm^2,Surface,1,6947,
12.4836,µm^2,Surface,1,6948,
5.35844,µm^2,Surface,1,6949,
24.2939,µm^2,Surface,1,6950,
10.41,µm^2,Surface,1,6951,
3.72444,µm^2,Surface,1,6952,
16.94,µm^2,Surface,1,6953,
1.08296,µm^2,Surface,1,6954,
1.85303,µm^2,Surface,1,6955,
10.7546,µm^2,Surface,1,6956,
42.1703,µm^2,Surface,1,6957,
25.7132,µm^2,Surface,1,6958,
6.27779,µm^2,Surface,1,6959,
10.0114,µm^2,Surface,1,6960,
15.941,µm^2,Surface,1,6961,
18.8967,µm^2,Surface,1,6962,
6.95211,µm^2,Surface,1,6963,
14.6376,µm^2,Surface,1,6964,
7.39707,µm^2,Surface,1,6967,
6.48643,µm^2,Surface,1,6969,
20.8041,µm^2,Surface,1,6970,
22.4854,µm^2,Surface,1,6971,
4.36704,µm^2,Surface,1,6973,
2.41224,µm^2,Surface,1,6974,
16.4972,µm^2,Surface,1,6975,
15.2924,µm^2,Surface,1,6976,
7.97997,µm^2,Surface,1,6977,
38.7856,µm^2,Surface,1,6978,
6.39447,µm^2,Surface,1,6979,
7.33527,µm^2,Surface,1,6980,
9.69579,µm^2,Surface,1,6981,
11.0944,µm^2,Surface,1,6982,
18.3197,µm^2,Surface,1,6983,
29.3154,µm^2,Surface,1,6984,
17.307,µm^2,Surface,1,6985,
6.28811,µm^2,Surface,1,6986,
4.68932,µm^2,Surface,1,6987,
4.0954,µm^2,Surface,1,6988,
1.08918,µm^2,Surface,1,6989,
19.6486,µm^2,Surface,1,6990,
5.20336,µm^2,Surface,1,6991,
6.92002,µm^2,Surface,1,6992,
10.3453,µm^2,Surface,1,6993,
4.66135,µm^2,Surface,1,6994,
7.28462,µm^2,Surface,1,6995,
10.5359,µm^2,Surface,1,6996,
9.05618,µm^2,Surface,1,6997,
6.39227,µm^2,Surface,1,6998,
7.10117,µm^2,Surface,1,6999,
19.4568,µm^2,Surface,1,7000,
2.9247,µm^2,Surface,1,7001,
12.1746,µm^2,Surface,1,7002,
10.5481,µm^2,Surface,1,7003,
20.5106,µm^2,Surface,1,7004,
1.15906,µm^2,Surface,1,7005,
8.16333,µm^2,Surface,1,7006,
1.66476,µm^2,Surface,1,7007,
13.1618,µm^2,Surface,1,7008,
2.65872,µm^2,Surface,1,7009,
24.9161,µm^2,Surface,1,7011,
23.4115,µm^2,Surface,1,7012,
18.3661,µm^2,Surface,1,7013,
8.37414,µm^2,Surface,1,7014,
30.1762,µm^2,Surface,1,7015,
18.9838,µm^2,Surface,1,7016,
12.7088,µm^2,Surface,1,7017,
10.1087,µm^2,Surface,1,7018,
11.5205,µm^2,Surface,1,7019,
23.2261,µm^2,Surface,1,7020,
9.51612,µm^2,Surface,1,7021,
8.98104,µm^2,Surface,1,7022,
10.3186,µm^2,Surface,1,7023,
12.1171,µm^2,Surface,1,7024,
12.7578,µm^2,Surface,1,7025,
11.0902,µm^2,Surface,1,7026,
14.6048,µm^2,Surface,1,7027,
18.2093,µm^2,Surface,1,7028,
3.64563,µm^2,Surface,1,7029,
20.3219,µm^2,Surface,1,7030,
9.25972,µm^2,Surface,1,7031,
7.36959,µm^2,Surface,1,7032,
8.5376,µm^2,Surface,1,7033,
8.34072,µm^2,Surface,1,7035,
31.5839,µm^2,Surface,1,7036,
3.10128,µm^2,Surface,1,7037,
12.2418,µm^2,Surface,1,7038,
6.53992,µm^2,Surface,1,7039,
15.8897,µm^2,Surface,1,7040,
11.1374,µm^2,Surface,1,7041,
2.62315,µm^2,Surface,1,7042,
6.42986,µm^2,Surface,1,7043,
17.3543,µm^2,Surface,1,7044,
4.47109,µm^2,Surface,1,7045,
12.7168,µm^2,Surface,1,7046,
11.3337,µm^2,Surface,1,7047,
6.08023,µm^2,Surface,1,7048,
3.44779,µm^2,Surface,1,7049,
6.13051,µm^2,Surface,1,7050,
22.775,µm^2,Surface,1,7051,
18.3357,µm^2,Surface,1,7052,
5.57834,µm^2,Surface,1,7053,
15.0713,µm^2,Surface,1,7056,
3.58591,µm^2,Surface,1,7057,
16.3626,µm^2,Surface,1,7058,
18.4231,µm^2,Surface,1,7060,
2.40459,µm^2,Surface,1,7061,
3.52232,µm^2,Surface,1,7062,
3.91193,µm^2,Surface,1,7063,
9.77844,µm^2,Surface,1,7064,
2.75869,µm^2,Surface,1,7065,
5.02407,µm^2,Surface,1,7066,
25.4464,µm^2,Surface,1,7067,
10.441,µm^2,Surface,1,7068,
4.49077,µm^2,Surface,1,7069,
13.9152,µm^2,Surface,1,7070,
4.44585,µm^2,Surface,1,7071,
15.8781,µm^2,Surface,1,7072,
8.79115,µm^2,Surface,1,7073,
3.96618,µm^2,Surface,1,7075,
16.6895,µm^2,Surface,1,7076,
4.5208,µm^2,Surface,1,7077,
3.18313,µm^2,Surface,1,7078,
3.50899,µm^2,Surface,1,7079,
14.6953,µm^2,Surface,1,7080,
17.9,µm^2,Surface,1,7081,
3.29292,µm^2,Surface,1,7082,
34.7046,µm^2,Surface,1,7083,
3.72688,µm^2,Surface,1,7084,
6.74631,µm^2,Surface,1,7085,
4.89801,µm^2,Surface,1,7087,
6.18069,µm^2,Surface,1,7088,
8.49283,µm^2,Surface,1,7089,
8.87504,µm^2,Surface,1,7090,
1.033,µm^2,Surface,1,7091,
18.669,µm^2,Surface,1,7092,
6.73519,µm^2,Surface,1,7093,
2.45029,µm^2,Surface,1,7094,
33.3554,µm^2,Surface,1,7095,
14.5704,µm^2,Surface,1,7096,
4.13579,µm^2,Surface,1,7097,
3.1006,µm^2,Surface,1,7098,
