
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
1456,,Surface,5,Image 1,1,6721,
3044,,Surface,5,Image 1,1,6722,
4648,,Surface,5,Image 1,1,6723,
4188,,Surface,5,Image 1,1,6724,
974,,Surface,5,Image 1,1,6725,
1828,,Surface,5,Image 1,1,6726,
2138,,Surface,5,Image 1,1,6728,
3372,,Surface,5,Image 1,1,6729,
860,,Surface,5,Image 1,1,6730,
1748,,Surface,5,Image 1,1,6731,
3962,,Surface,5,Image 1,1,6732,
1361,,Surface,5,Image 1,1,6733,
3220,,Surface,5,Image 1,1,6734,
2472,,Surface,5,Image 1,1,6735,
444,,Surface,5,Image 1,1,6736,
1710,,Surface,5,Image 1,1,6737,
1084,,Surface,5,Image 1,1,6738,
3916,,Surface,5,Image 1,1,6739,
1338,,Surface,5,Image 1,1,6740,
1212,,Surface,5,Image 1,1,6741,
1000,,Surface,5,Image 1,1,6742,
2916,,Surface,5,Image 1,1,6743,
4208,,Surface,5,Image 1,1,6744,
1632,,Surface,5,Image 1,1,6745,
4,,Surface,5,Image 1,1,6746,
128.5,,Surface,5,Image 1,1,6747,
380,,Surface,5,Image 1,1,6748,
1376,,Surface,5,Image 1,1,6749,
2658,,Surface,5,Image 1,1,6750,
2524,,Surface,5,Image 1,1,6751,
4456,,Surface,5,Image 1,1,6752,
1684,,Surface,5,Image 1,1,6753,
135,,Surface,5,Image 1,1,6754,
1076,,Surface,5,Image 1,1,6755,
3292,,Surface,5,Image 1,1,6756,
3786,,Surface,5,Image 1,1,6757,
12696,,Surface,5,Image 1,1,6758,
1060,,Surface,5,Image 1,1,6760,
1430,,Surface,5,Image 1,1,6761,
4808,,Surface,5,Image 1,1,6762,
2412,,Surface,5,Image 1,1,6763,
4584,,Surface,5,Image 1,1,6764,
2556,,Surface,5,Image 1,1,6765,
1358,,Surface,5,Image 1,1,6766,
1524,,Surface,5,Image 1,1,6767,
709,,Surface,5,Image 1,1,6768,
3276,,Surface,5,Image 1,1,6770,
4052,,Surface,5,Image 1,1,6771,
1356,,Surface,5,Image 1,1,6772,
1354,,Surface,5,Image 1,1,6773,
1590,,Surface,5,Image 1,1,6774,
1988,,Surface,5,Image 1,1,6775,
120,,Surface,5,Image 1,1,6776,
1431,,Surface,5,Image 1,1,6777,
1328,,Surface,5,Image 1,1,6778,
2646,,Surface,5,Image 1,1,6781,
3976,,Surface,5,Image 1,1,6782,
3764,,Surface,5,Image 1,1,6783,
1218,,Surface,5,Image 1,1,6784,
0.25,,Surface,5,Image 1,1,6785,
3432,,Surface,5,Image 1,1,6786,
366,,Surface,5,Image 1,1,6787,
3868,,Surface,5,Image 1,1,6788,
0.25,,Surface,5,Image 1,1,6789,
1052,,Surface,5,Image 1,1,6790,
2068,,Surface,5,Image 1,1,6791,
3276,,Surface,5,Image 1,1,6792,
2820,,Surface,5,Image 1,1,6793,
2020,,Surface,5,Image 1,1,6794,
490,,Surface,5,Image 1,1,6795,
3044,,Surface,5,Image 1,1,6796,
4,,Surface,5,Image 1,1,6797,
2160,,Surface,5,Image 1,1,6798,
331,,Surface,5,Image 1,1,6799,
3118,,Surface,5,Image 1,1,6800,
918,,Surface,5,Image 1,1,6801,
220.5,,Surface,5,Image 1,1,6802,
1918,,Surface,5,Image 1,1,6803,
3400,,Surface,5,Image 1,1,6804,
5460,,Surface,5,Image 1,1,6805,
4,,Surface,5,Image 1,1,6806,
1524,,Surface,5,Image 1,1,6807,
0.25,,Surface,5,Image 1,1,6808,
808,,Surface,5,Image 1,1,6810,
836,,Surface,5,Image 1,1,6811,
2,,Surface,5,Image 1,1,6812,
2748,,Surface,5,Image 1,1,6813,
0.5,,Surface,5,Image 1,1,6814,
1804,,Surface,5,Image 1,1,6815,
46.5,,Surface,5,Image 1,1,6816,
774,,Surface,5,Image 1,1,6817,
1,,Surface,5,Image 1,1,6819,
4190,,Surface,5,Image 1,1,6820,
2864,,Surface,5,Image 1,1,6821,
1322,,Surface,5,Image 1,1,6822,
2034,,Surface,5,Image 1,1,6823,
1304,,Surface,5,Image 1,1,6824,
2374,,Surface,5,Image 1,1,6825,
224,,Surface,5,Image 1,1,6826,
5516,,Surface,5,Image 1,1,6827,
2076,,Surface,5,Image 1,1,6828,
2850,,Surface,5,Image 1,1,6829,
1584,,Surface,5,Image 1,1,6830,
3136,,Surface,5,Image 1,1,6831,
1018,,Surface,5,Image 1,1,6832,
401,,Surface,5,Image 1,1,6833,
2762,,Surface,5,Image 1,1,6834,
4262,,Surface,5,Image 1,1,6836,
3230,,Surface,5,Image 1,1,6837,
3260,,Surface,5,Image 1,1,6838,
3342,,Surface,5,Image 1,1,6840,
50,,Surface,5,Image 1,1,6841,
3740,,Surface,5,Image 1,1,6842,
5552,,Surface,5,Image 1,1,6843,
3532,,Surface,5,Image 1,1,6844,
1044,,Surface,5,Image 1,1,6845,
236,,Surface,5,Image 1,1,6846,
173,,Surface,5,Image 1,1,6847,
1600,,Surface,5,Image 1,1,6849,
858,,Surface,5,Image 1,1,6850,
1397,,Surface,5,Image 1,1,6851,
3052,,Surface,5,Image 1,1,6852,
718,,Surface,5,Image 1,1,6853,
3380,,Surface,5,Image 1,1,6855,
4356,,Surface,5,Image 1,1,6856,
1700,,Surface,5,Image 1,1,6857,
658,,Surface,5,Image 1,1,6858,
4080,,Surface,5,Image 1,1,6859,
164.5,,Surface,5,Image 1,1,6860,
2740,,Surface,5,Image 1,1,6861,
4128,,Surface,5,Image 1,1,6862,
1548,,Surface,5,Image 1,1,6863,
1390,,Surface,5,Image 1,1,6864,
952,,Surface,5,Image 1,1,6866,
0.0625,,Surface,5,Image 1,1,6867,
778,,Surface,5,Image 1,1,6868,
415,,Surface,5,Image 1,1,6869,
2054,,Surface,5,Image 1,1,6870,
833,,Surface,5,Image 1,1,6871,
1374,,Surface,5,Image 1,1,6872,
732,,Surface,5,Image 1,1,6873,
311.5,,Surface,5,Image 1,1,6874,
369,,Surface,5,Image 1,1,6875,
1368,,Surface,5,Image 1,1,6877,
116,,Surface,5,Image 1,1,6878,
662,,Surface,5,Image 1,1,6879,
612,,Surface,5,Image 1,1,6880,
3532,,Surface,5,Image 1,1,6881,
3732,,Surface,5,Image 1,1,6882,
2,,Surface,5,Image 1,1,6884,
5052,,Surface,5,Image 1,1,6885,
1796,,Surface,5,Image 1,1,6886,
2236,,Surface,5,Image 1,1,6887,
4896,,Surface,5,Image 1,1,6888,
2,,Surface,5,Image 1,1,6889,
121,,Surface,5,Image 1,1,6890,
0.5,,Surface,5,Image 1,1,6891,
6468,,Surface,5,Image 1,1,6892,
1284,,Surface,5,Image 1,1,6894,
3468,,Surface,5,Image 1,1,6895,
0.25,,Surface,5,Image 1,1,6896,
2676,,Surface,5,Image 1,1,6897,
0.5,,Surface,5,Image 1,1,6898,
2268,,Surface,5,Image 1,1,6899,
5820,,Surface,5,Image 1,1,6900,
3316,,Surface,5,Image 1,1,6901,
2251,,Surface,5,Image 1,1,6902,
3256,,Surface,5,Image 1,1,6904,
1964,,Surface,5,Image 1,1,6905,
3400,,Surface,5,Image 1,1,6906,
3940,,Surface,5,Image 1,1,6907,
2876,,Surface,5,Image 1,1,6908,
1522,,Surface,5,Image 1,1,6909,
2106,,Surface,5,Image 1,1,6910,
2796,,Surface,5,Image 1,1,6911,
660,,Surface,5,Image 1,1,6912,
2522,,Surface,5,Image 1,1,6914,
1090,,Surface,5,Image 1,1,6915,
6416,,Surface,5,Image 1,1,6917,
127,,Surface,5,Image 1,1,6919,
3136,,Surface,5,Image 1,1,6920,
3332,,Surface,5,Image 1,1,6921,
2744,,Surface,5,Image 1,1,6922,
1208,,Surface,5,Image 1,1,6923,
1245,,Surface,5,Image 1,1,6924,
3432,,Surface,5,Image 1,1,6925,
3780,,Surface,5,Image 1,1,6926,
3580,,Surface,5,Image 1,1,6927,
2612,,Surface,5,Image 1,1,6928,
490,,Surface,5,Image 1,1,6929,
5396,,Surface,5,Image 1,1,6930,
1203,,Surface,5,Image 1,1,6931,
153,,Surface,5,Image 1,1,6932,
5788,,Surface,5,Image 1,1,6933,
2564,,Surface,5,Image 1,1,6934,
534,,Surface,5,Image 1,1,6935,
3576,,Surface,5,Image 1,1,6936,
2464,,Surface,5,Image 1,1,6937,
2376,,Surface,5,Image 1,1,6938,
3028,,Surface,5,Image 1,1,6939,
4692,,Surface,5,Image 1,1,6941,
4812,,Surface,5,Image 1,1,6942,
4896,,Surface,5,Image 1,1,6943,
3164,,Surface,5,Image 1,1,6944,
652,,Surface,5,Image 1,1,6945,
0.5,,Surface,5,Image 1,1,6946,
6648,,Surface,5,Image 1,1,6947,
2872,,Surface,5,Image 1,1,6948,
248,,Surface,5,Image 1,1,6949,
8,,Surface,5,Image 1,1,6950,
227,,Surface,5,Image 1,1,6951,
3278,,Surface,5,Image 1,1,6952,
3076,,Surface,5,Image 1,1,6953,
443,,Surface,5,Image 1,1,6954,
2058,,Surface,5,Image 1,1,6955,
2294,,Surface,5,Image 1,1,6956,
12,,Surface,5,Image 1,1,6957,
3200,,Surface,5,Image 1,1,6958,
782,,Surface,5,Image 1,1,6959,
2852,,Surface,5,Image 1,1,6960,
1512,,Surface,5,Image 1,1,6961,
3328,,Surface,5,Image 1,1,6962,
1968,,Surface,5,Image 1,1,6963,
162,,Surface,5,Image 1,1,6964,
2612,,Surface,5,Image 1,1,6967,
1528,,Surface,5,Image 1,1,6969,
1604,,Surface,5,Image 1,1,6970,
5008,,Surface,5,Image 1,1,6971,
2324,,Surface,5,Image 1,1,6973,
0.03125,,Surface,5,Image 1,1,6974,
910,,Surface,5,Image 1,1,6975,
3732,,Surface,5,Image 1,1,6976,
1836,,Surface,5,Image 1,1,6977,
3388,,Surface,5,Image 1,1,6978,
568,,Surface,5,Image 1,1,6979,
1792,,Surface,5,Image 1,1,6980,
1428,,Surface,5,Image 1,1,6981,
165,,Surface,5,Image 1,1,6982,
734,,Surface,5,Image 1,1,6983,
2764,,Surface,5,Image 1,1,6984,
3474,,Surface,5,Image 1,1,6985,
0.5,,Surface,5,Image 1,1,6986,
906,,Surface,5,Image 1,1,6987,
1900,,Surface,5,Image 1,1,6988,
1574,,Surface,5,Image 1,1,6989,
1670,,Surface,5,Image 1,1,6990,
6640,,Surface,5,Image 1,1,6991,
1300,,Surface,5,Image 1,1,6992,
6168,,Surface,5,Image 1,1,6993,
2648,,Surface,5,Image 1,1,6994,
