
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2.16159e+07,,Surface,2,Image 1,1,6856,
9.5479e+06,,Surface,2,Image 1,1,6857,
7.968e+06,,Surface,2,Image 1,1,6858,
2.66673e+06,,Surface,2,Image 1,1,6859,
552225,,Surface,2,Image 1,1,6860,
1.22812e+07,,Surface,2,Image 1,1,6861,
459518,,Surface,2,Image 1,1,6862,
8.73227e+06,,Surface,2,Image 1,1,6863,
3.52796e+07,,Surface,2,Image 1,1,6864,
781838,,Surface,2,Image 1,1,6866,
2.10315e+06,,Surface,2,Image 1,1,6867,
6.10717e+06,,Surface,2,Image 1,1,6868,
4.02719e+06,,Surface,2,Image 1,1,6869,
5.94818e+06,,Surface,2,Image 1,1,6870,
5.58811e+06,,Surface,2,Image 1,1,6871,
3.6514e+06,,Surface,2,Image 1,1,6872,
2.22583e+08,,Surface,2,Image 1,1,6873,
3.63159e+06,,Surface,2,Image 1,1,6874,
6.76847e+06,,Surface,2,Image 1,1,6875,
983192,,Surface,2,Image 1,1,6877,
568607,,Surface,2,Image 1,1,6878,
3.48553e+06,,Surface,2,Image 1,1,6879,
7.78062e+06,,Surface,2,Image 1,1,6880,
6.5614e+06,,Surface,2,Image 1,1,6881,
1.63041e+07,,Surface,2,Image 1,1,6882,
2.34689e+06,,Surface,2,Image 1,1,6884,
1.54408e+07,,Surface,2,Image 1,1,6885,
8.69874e+06,,Surface,2,Image 1,1,6886,
1.87699e+07,,Surface,2,Image 1,1,6887,
1.85819e+07,,Surface,2,Image 1,1,6888,
1.07334e+07,,Surface,2,Image 1,1,6889,
8.00541e+06,,Surface,2,Image 1,1,6890,
4.09615e+06,,Surface,2,Image 1,1,6891,
1.78636e+07,,Surface,2,Image 1,1,6892,
7.2581e+06,,Surface,2,Image 1,1,6894,
1.34994e+07,,Surface,2,Image 1,1,6895,
3.93905e+06,,Surface,2,Image 1,1,6896,
2.69962e+07,,Surface,2,Image 1,1,6897,
3.61784e+06,,Surface,2,Image 1,1,6898,
4.48743e+06,,Surface,2,Image 1,1,6899,
4.16374e+06,,Surface,2,Image 1,1,6900,
292364,,Surface,2,Image 1,1,6901,
278756,,Surface,2,Image 1,1,6902,
4.1739e+06,,Surface,2,Image 1,1,6904,
4.54558e+06,,Surface,2,Image 1,1,6905,
453306,,Surface,2,Image 1,1,6906,
1.7368e+07,,Surface,2,Image 1,1,6907,
1.32969e+07,,Surface,2,Image 1,1,6908,
7.85719e+06,,Surface,2,Image 1,1,6909,
3.04969e+06,,Surface,2,Image 1,1,6910,
644888,,Surface,2,Image 1,1,6911,
1.42488e+06,,Surface,2,Image 1,1,6912,
5.33023e+06,,Surface,2,Image 1,1,6914,
8.99205e+06,,Surface,2,Image 1,1,6915,
2.23641e+07,,Surface,2,Image 1,1,6917,
3.80212e+06,,Surface,2,Image 1,1,6919,
2.46081e+06,,Surface,2,Image 1,1,6920,
1.12624e+07,,Surface,2,Image 1,1,6921,
8.86351e+06,,Surface,2,Image 1,1,6922,
3.38136e+06,,Surface,2,Image 1,1,6923,
429627,,Surface,2,Image 1,1,6924,
7.18816e+06,,Surface,2,Image 1,1,6925,
9.01561e+06,,Surface,2,Image 1,1,6926,
1.95643e+07,,Surface,2,Image 1,1,6927,
5.13486e+07,,Surface,2,Image 1,1,6928,
1.88182e+06,,Surface,2,Image 1,1,6929,
677064,,Surface,2,Image 1,1,6930,
2.20722e+06,,Surface,2,Image 1,1,6931,
1.58803e+07,,Surface,2,Image 1,1,6932,
1.98088e+06,,Surface,2,Image 1,1,6933,
1.83158e+07,,Surface,2,Image 1,1,6934,
5.00436e+06,,Surface,2,Image 1,1,6935,
4.15622e+06,,Surface,2,Image 1,1,6936,
1.20663e+07,,Surface,2,Image 1,1,6937,
2.70055e+07,,Surface,2,Image 1,1,6938,
1.1727e+07,,Surface,2,Image 1,1,6939,
2.46812e+06,,Surface,2,Image 1,1,6941,
1.85958e+07,,Surface,2,Image 1,1,6942,
4.9391e+06,,Surface,2,Image 1,1,6943,
1.61017e+07,,Surface,2,Image 1,1,6944,
2.54861e+08,,Surface,2,Image 1,1,6945,
3.25745e+06,,Surface,2,Image 1,1,6946,
4.5327e+06,,Surface,2,Image 1,1,6947,
8.55248e+06,,Surface,2,Image 1,1,6948,
2.48029e+06,,Surface,2,Image 1,1,6949,
3.04162e+07,,Surface,2,Image 1,1,6950,
6.10147e+06,,Surface,2,Image 1,1,6951,
1.02968e+06,,Surface,2,Image 1,1,6952,
1.10778e+07,,Surface,2,Image 1,1,6953,
387929,,Surface,2,Image 1,1,6954,
469713,,Surface,2,Image 1,1,6955,
4.79318e+06,,Surface,2,Image 1,1,6956,
1.47023e+08,,Surface,2,Image 1,1,6957,
2.17789e+07,,Surface,2,Image 1,1,6958,
2.57612e+06,,Surface,2,Image 1,1,6959,
4.19702e+06,,Surface,2,Image 1,1,6960,
1.09199e+07,,Surface,2,Image 1,1,6961,
1.38382e+07,,Surface,2,Image 1,1,6962,
3.40967e+06,,Surface,2,Image 1,1,6963,
8.67998e+06,,Surface,2,Image 1,1,6964,
3.00781e+06,,Surface,2,Image 1,1,6967,
3.82298e+06,,Surface,2,Image 1,1,6969,
2.32399e+07,,Surface,2,Image 1,1,6970,
2.30777e+07,,Surface,2,Image 1,1,6971,
1.78124e+06,,Surface,2,Image 1,1,6973,
1.29317e+06,,Surface,2,Image 1,1,6974,
1.07581e+07,,Surface,2,Image 1,1,6975,
9.97944e+06,,Surface,2,Image 1,1,6976,
5.461e+06,,Surface,2,Image 1,1,6977,
5.1269e+07,,Surface,2,Image 1,1,6978,
2.8526e+06,,Surface,2,Image 1,1,6979,
3.54032e+06,,Surface,2,Image 1,1,6980,
5.10906e+06,,Surface,2,Image 1,1,6981,
6.478e+06,,Surface,2,Image 1,1,6982,
1.32058e+07,,Surface,2,Image 1,1,6983,
1.76667e+07,,Surface,2,Image 1,1,6984,
1.08326e+07,,Surface,2,Image 1,1,6985,
2.22891e+06,,Surface,2,Image 1,1,6986,
1.57278e+06,,Surface,2,Image 1,1,6987,
1.14143e+06,,Surface,2,Image 1,1,6988,
286256,,Surface,2,Image 1,1,6989,
1.58508e+07,,Surface,2,Image 1,1,6990,
1.90576e+06,,Surface,2,Image 1,1,6991,
3.09148e+06,,Surface,2,Image 1,1,6992,
6.29647e+06,,Surface,2,Image 1,1,6993,
1.74961e+06,,Surface,2,Image 1,1,6994,
3.1832e+06,,Surface,2,Image 1,1,6995,
8.04785e+06,,Surface,2,Image 1,1,6996,
5.80621e+06,,Surface,2,Image 1,1,6997,
3.49371e+06,,Surface,2,Image 1,1,6998,
2.84156e+06,,Surface,2,Image 1,1,6999,
1.57664e+07,,Surface,2,Image 1,1,7000,
1.00198e+06,,Surface,2,Image 1,1,7001,
7.34027e+06,,Surface,2,Image 1,1,7002,
5.41567e+06,,Surface,2,Image 1,1,7003,
1.00601e+07,,Surface,2,Image 1,1,7004,
341005,,Surface,2,Image 1,1,7005,
4.03516e+06,,Surface,2,Image 1,1,7006,
573247,,Surface,2,Image 1,1,7007,
8.33124e+06,,Surface,2,Image 1,1,7008,
861136,,Surface,2,Image 1,1,7009,
2.83248e+07,,Surface,2,Image 1,1,7011,
3.11073e+07,,Surface,2,Image 1,1,7012,
9.83383e+06,,Surface,2,Image 1,1,7013,
4.72712e+06,,Surface,2,Image 1,1,7014,
3.54565e+07,,Surface,2,Image 1,1,7015,
9.16343e+06,,Surface,2,Image 1,1,7016,
9.40859e+06,,Surface,2,Image 1,1,7017,
4.99556e+06,,Surface,2,Image 1,1,7018,
7.32406e+06,,Surface,2,Image 1,1,7019,
2.1138e+07,,Surface,2,Image 1,1,7020,
4.81496e+06,,Surface,2,Image 1,1,7021,
4.46535e+06,,Surface,2,Image 1,1,7022,
8.51276e+06,,Surface,2,Image 1,1,7023,
7.22731e+06,,Surface,2,Image 1,1,7024,
6.71033e+06,,Surface,2,Image 1,1,7025,
7.39244e+06,,Surface,2,Image 1,1,7026,
1.11347e+07,,Surface,2,Image 1,1,7027,
1.66868e+07,,Surface,2,Image 1,1,7028,
977826,,Surface,2,Image 1,1,7029,
1.46329e+07,,Surface,2,Image 1,1,7030,
7.3043e+06,,Surface,2,Image 1,1,7031,
3.48702e+06,,Surface,2,Image 1,1,7032,
6.96909e+06,,Surface,2,Image 1,1,7033,
7.1042e+06,,Surface,2,Image 1,1,7035,
2.50266e+07,,Surface,2,Image 1,1,7036,
869378,,Surface,2,Image 1,1,7037,
7.26224e+06,,Surface,2,Image 1,1,7038,
3.68882e+06,,Surface,2,Image 1,1,7039,
8.94223e+06,,Surface,2,Image 1,1,7040,
6.17018e+06,,Surface,2,Image 1,1,7041,
957267,,Surface,2,Image 1,1,7042,
2.54138e+06,,Surface,2,Image 1,1,7043,
8.74553e+06,,Surface,2,Image 1,1,7044,
3.72752e+06,,Surface,2,Image 1,1,7045,
9.24885e+06,,Surface,2,Image 1,1,7046,
6.12515e+06,,Surface,2,Image 1,1,7047,
2.493e+06,,Surface,2,Image 1,1,7048,
1.04572e+06,,Surface,2,Image 1,1,7049,
2.47696e+06,,Surface,2,Image 1,1,7050,
2.91318e+07,,Surface,2,Image 1,1,7051,
1.57914e+07,,Surface,2,Image 1,1,7052,
