
Intensity Min Ch=27 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
61,,Surface,27,Image 1,1,6721,
0,,Surface,27,Image 1,1,6722,
0,,Surface,27,Image 1,1,6723,
0,,Surface,27,Image 1,1,6724,
0,,Surface,27,Image 1,1,6725,
0,,Surface,27,Image 1,1,6726,
201,,Surface,27,Image 1,1,6728,
792,,Surface,27,Image 1,1,6729,
0,,Surface,27,Image 1,1,6730,
0,,Surface,27,Image 1,1,6731,
404,,Surface,27,Image 1,1,6732,
228,,Surface,27,Image 1,1,6733,
0,,Surface,27,Image 1,1,6734,
0,,Surface,27,Image 1,1,6735,
0,,Surface,27,Image 1,1,6736,
0,,Surface,27,Image 1,1,6737,
0,,Surface,27,Image 1,1,6738,
0,,Surface,27,Image 1,1,6739,
0,,Surface,27,Image 1,1,6740,
0,,Surface,27,Image 1,1,6741,
0,,Surface,27,Image 1,1,6742,
277,,Surface,27,Image 1,1,6743,
0,,Surface,27,Image 1,1,6744,
56,,Surface,27,Image 1,1,6745,
0,,Surface,27,Image 1,1,6746,
0,,Surface,27,Image 1,1,6747,
0,,Surface,27,Image 1,1,6748,
0,,Surface,27,Image 1,1,6749,
195,,Surface,27,Image 1,1,6750,
0,,Surface,27,Image 1,1,6751,
34,,Surface,27,Image 1,1,6752,
0,,Surface,27,Image 1,1,6753,
0,,Surface,27,Image 1,1,6754,
159,,Surface,27,Image 1,1,6755,
0,,Surface,27,Image 1,1,6756,
98,,Surface,27,Image 1,1,6757,
593,,Surface,27,Image 1,1,6758,
0,,Surface,27,Image 1,1,6760,
0,,Surface,27,Image 1,1,6761,
247,,Surface,27,Image 1,1,6762,
0,,Surface,27,Image 1,1,6763,
252,,Surface,27,Image 1,1,6764,
0,,Surface,27,Image 1,1,6765,
0,,Surface,27,Image 1,1,6766,
0,,Surface,27,Image 1,1,6767,
0,,Surface,27,Image 1,1,6768,
0,,Surface,27,Image 1,1,6770,
82,,Surface,27,Image 1,1,6771,
0,,Surface,27,Image 1,1,6772,
0,,Surface,27,Image 1,1,6773,
0,,Surface,27,Image 1,1,6774,
0,,Surface,27,Image 1,1,6775,
0,,Surface,27,Image 1,1,6776,
0,,Surface,27,Image 1,1,6777,
0,,Surface,27,Image 1,1,6778,
0,,Surface,27,Image 1,1,6781,
153,,Surface,27,Image 1,1,6782,
0,,Surface,27,Image 1,1,6783,
0,,Surface,27,Image 1,1,6784,
0,,Surface,27,Image 1,1,6785,
0,,Surface,27,Image 1,1,6786,
0,,Surface,27,Image 1,1,6787,
0,,Surface,27,Image 1,1,6788,
0,,Surface,27,Image 1,1,6789,
0,,Surface,27,Image 1,1,6790,
0,,Surface,27,Image 1,1,6791,
28,,Surface,27,Image 1,1,6792,
52,,Surface,27,Image 1,1,6793,
0,,Surface,27,Image 1,1,6794,
0,,Surface,27,Image 1,1,6795,
0,,Surface,27,Image 1,1,6796,
0,,Surface,27,Image 1,1,6797,
0,,Surface,27,Image 1,1,6798,
0,,Surface,27,Image 1,1,6799,
0,,Surface,27,Image 1,1,6800,
0,,Surface,27,Image 1,1,6801,
89,,Surface,27,Image 1,1,6802,
0,,Surface,27,Image 1,1,6803,
0,,Surface,27,Image 1,1,6804,
0,,Surface,27,Image 1,1,6805,
0,,Surface,27,Image 1,1,6806,
0,,Surface,27,Image 1,1,6807,
0,,Surface,27,Image 1,1,6808,
0,,Surface,27,Image 1,1,6810,
138,,Surface,27,Image 1,1,6811,
0,,Surface,27,Image 1,1,6812,
0,,Surface,27,Image 1,1,6813,
0,,Surface,27,Image 1,1,6814,
7,,Surface,27,Image 1,1,6815,
0,,Surface,27,Image 1,1,6816,
0,,Surface,27,Image 1,1,6817,
0,,Surface,27,Image 1,1,6819,
371,,Surface,27,Image 1,1,6820,
41,,Surface,27,Image 1,1,6821,
0,,Surface,27,Image 1,1,6822,
0,,Surface,27,Image 1,1,6823,
0,,Surface,27,Image 1,1,6824,
101,,Surface,27,Image 1,1,6825,
0,,Surface,27,Image 1,1,6826,
0,,Surface,27,Image 1,1,6827,
0,,Surface,27,Image 1,1,6828,
0,,Surface,27,Image 1,1,6829,
0,,Surface,27,Image 1,1,6830,
715,,Surface,27,Image 1,1,6831,
0,,Surface,27,Image 1,1,6832,
125,,Surface,27,Image 1,1,6833,
0,,Surface,27,Image 1,1,6834,
0,,Surface,27,Image 1,1,6836,
31,,Surface,27,Image 1,1,6837,
0,,Surface,27,Image 1,1,6838,
0,,Surface,27,Image 1,1,6840,
0,,Surface,27,Image 1,1,6841,
27,,Surface,27,Image 1,1,6842,
109,,Surface,27,Image 1,1,6843,
0,,Surface,27,Image 1,1,6844,
0,,Surface,27,Image 1,1,6845,
0,,Surface,27,Image 1,1,6846,
0,,Surface,27,Image 1,1,6847,
0,,Surface,27,Image 1,1,6849,
0,,Surface,27,Image 1,1,6850,
0,,Surface,27,Image 1,1,6851,
0,,Surface,27,Image 1,1,6852,
0,,Surface,27,Image 1,1,6853,
0,,Surface,27,Image 1,1,6855,
0,,Surface,27,Image 1,1,6856,
0,,Surface,27,Image 1,1,6857,
0,,Surface,27,Image 1,1,6858,
0,,Surface,27,Image 1,1,6859,
0,,Surface,27,Image 1,1,6860,
48,,Surface,27,Image 1,1,6861,
0,,Surface,27,Image 1,1,6862,
0,,Surface,27,Image 1,1,6863,
0,,Surface,27,Image 1,1,6864,
0,,Surface,27,Image 1,1,6866,
0,,Surface,27,Image 1,1,6867,
0,,Surface,27,Image 1,1,6868,
0,,Surface,27,Image 1,1,6869,
0,,Surface,27,Image 1,1,6870,
26,,Surface,27,Image 1,1,6871,
0,,Surface,27,Image 1,1,6872,
0,,Surface,27,Image 1,1,6873,
0,,Surface,27,Image 1,1,6874,
0,,Surface,27,Image 1,1,6875,
86,,Surface,27,Image 1,1,6877,
0,,Surface,27,Image 1,1,6878,
0,,Surface,27,Image 1,1,6879,
0,,Surface,27,Image 1,1,6880,
0,,Surface,27,Image 1,1,6881,
0,,Surface,27,Image 1,1,6882,
0,,Surface,27,Image 1,1,6884,
0,,Surface,27,Image 1,1,6885,
0,,Surface,27,Image 1,1,6886,
0,,Surface,27,Image 1,1,6887,
0,,Surface,27,Image 1,1,6888,
0,,Surface,27,Image 1,1,6889,
0,,Surface,27,Image 1,1,6890,
0,,Surface,27,Image 1,1,6891,
0,,Surface,27,Image 1,1,6892,
0,,Surface,27,Image 1,1,6894,
0,,Surface,27,Image 1,1,6895,
0,,Surface,27,Image 1,1,6896,
0,,Surface,27,Image 1,1,6897,
0,,Surface,27,Image 1,1,6898,
0,,Surface,27,Image 1,1,6899,
177,,Surface,27,Image 1,1,6900,
234,,Surface,27,Image 1,1,6901,
39,,Surface,27,Image 1,1,6902,
10,,Surface,27,Image 1,1,6904,
0,,Surface,27,Image 1,1,6905,
215,,Surface,27,Image 1,1,6906,
0,,Surface,27,Image 1,1,6907,
0,,Surface,27,Image 1,1,6908,
