
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Disconnected Components per Time Point,4028,,1,,
Number of Surfaces per Time Point,4028,,1,,
Total Number of Disconnected Components,4028,,,,
Total Number of Surfaces,4028,,,,
