
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
21.7961,,Surface,11,Image 1,1,6874,
261.337,,Surface,11,Image 1,1,6875,
37.1016,,Surface,11,Image 1,1,6877,
668.767,,Surface,11,Image 1,1,6878,
40.5714,,Surface,11,Image 1,1,6879,
205.804,,Surface,11,Image 1,1,6880,
17.3191,,Surface,11,Image 1,1,6881,
947.425,,Surface,11,Image 1,1,6882,
469.408,,Surface,11,Image 1,1,6884,
983.81,,Surface,11,Image 1,1,6885,
228.396,,Surface,11,Image 1,1,6886,
362.386,,Surface,11,Image 1,1,6887,
189.324,,Surface,11,Image 1,1,6888,
495.597,,Surface,11,Image 1,1,6889,
342.823,,Surface,11,Image 1,1,6890,
17.3996,,Surface,11,Image 1,1,6891,
746.501,,Surface,11,Image 1,1,6892,
100.142,,Surface,11,Image 1,1,6894,
479.087,,Surface,11,Image 1,1,6895,
58.9486,,Surface,11,Image 1,1,6896,
97.0225,,Surface,11,Image 1,1,6897,
52.5989,,Surface,11,Image 1,1,6898,
409.772,,Surface,11,Image 1,1,6899,
671.924,,Surface,11,Image 1,1,6900,
100.744,,Surface,11,Image 1,1,6901,
671.344,,Surface,11,Image 1,1,6902,
139.497,,Surface,11,Image 1,1,6904,
188.183,,Surface,11,Image 1,1,6905,
341.112,,Surface,11,Image 1,1,6906,
635.536,,Surface,11,Image 1,1,6907,
315.066,,Surface,11,Image 1,1,6908,
91.794,,Surface,11,Image 1,1,6909,
779.248,,Surface,11,Image 1,1,6910,
229.865,,Surface,11,Image 1,1,6911,
3.38056,,Surface,11,Image 1,1,6912,
82.0069,,Surface,11,Image 1,1,6914,
531.136,,Surface,11,Image 1,1,6915,
809.555,,Surface,11,Image 1,1,6917,
2.77047,,Surface,11,Image 1,1,6919,
480.416,,Surface,11,Image 1,1,6920,
811.015,,Surface,11,Image 1,1,6921,
316.463,,Surface,11,Image 1,1,6922,
293.592,,Surface,11,Image 1,1,6923,
3.72596,,Surface,11,Image 1,1,6924,
238.237,,Surface,11,Image 1,1,6925,
204.029,,Surface,11,Image 1,1,6926,
513.29,,Surface,11,Image 1,1,6927,
512.744,,Surface,11,Image 1,1,6928,
139.983,,Surface,11,Image 1,1,6929,
73.7941,,Surface,11,Image 1,1,6930,
67.0599,,Surface,11,Image 1,1,6931,
27.782,,Surface,11,Image 1,1,6932,
386.462,,Surface,11,Image 1,1,6933,
1243.4,,Surface,11,Image 1,1,6934,
639.253,,Surface,11,Image 1,1,6935,
116.53,,Surface,11,Image 1,1,6936,
235.425,,Surface,11,Image 1,1,6937,
113.723,,Surface,11,Image 1,1,6938,
485.301,,Surface,11,Image 1,1,6939,
64.3962,,Surface,11,Image 1,1,6941,
34.9472,,Surface,11,Image 1,1,6942,
140.304,,Surface,11,Image 1,1,6943,
464.112,,Surface,11,Image 1,1,6944,
233.618,,Surface,11,Image 1,1,6945,
12.6373,,Surface,11,Image 1,1,6946,
1586.31,,Surface,11,Image 1,1,6947,
967.937,,Surface,11,Image 1,1,6948,
262.802,,Surface,11,Image 1,1,6949,
1052.85,,Surface,11,Image 1,1,6950,
196.427,,Surface,11,Image 1,1,6951,
20.7243,,Surface,11,Image 1,1,6952,
226.077,,Surface,11,Image 1,1,6953,
113.807,,Surface,11,Image 1,1,6954,
209.83,,Surface,11,Image 1,1,6955,
8.40564,,Surface,11,Image 1,1,6956,
434.623,,Surface,11,Image 1,1,6957,
37.5028,,Surface,11,Image 1,1,6958,
77.725,,Surface,11,Image 1,1,6959,
3.51172,,Surface,11,Image 1,1,6960,
529.999,,Surface,11,Image 1,1,6961,
1151.5,,Surface,11,Image 1,1,6962,
