
Intensity Sum of Square Ch=40 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
6.02175e+08,,Surface,40,Image 1,1,6721,
3.94627e+08,,Surface,40,Image 1,1,6722,
1.97519e+09,,Surface,40,Image 1,1,6723,
5.36749e+09,,Surface,40,Image 1,1,6724,
3.6443e+08,,Surface,40,Image 1,1,6725,
1.70431e+09,,Surface,40,Image 1,1,6726,
2.40116e+08,,Surface,40,Image 1,1,6728,
4.19903e+08,,Surface,40,Image 1,1,6729,
4.85458e+09,,Surface,40,Image 1,1,6730,
1.02067e+09,,Surface,40,Image 1,1,6731,
1.22283e+08,,Surface,40,Image 1,1,6732,
1.54247e+08,,Surface,40,Image 1,1,6733,
2.09715e+08,,Surface,40,Image 1,1,6734,
7.15151e+08,,Surface,40,Image 1,1,6735,
2.24833e+09,,Surface,40,Image 1,1,6736,
3.84553e+08,,Surface,40,Image 1,1,6737,
1.53107e+09,,Surface,40,Image 1,1,6738,
1.62528e+09,,Surface,40,Image 1,1,6739,
7.04189e+08,,Surface,40,Image 1,1,6740,
4.95295e+09,,Surface,40,Image 1,1,6741,
3.27015e+09,,Surface,40,Image 1,1,6742,
7.49511e+08,,Surface,40,Image 1,1,6743,
1.16791e+09,,Surface,40,Image 1,1,6744,
1.4257e+09,,Surface,40,Image 1,1,6745,
1.34136e+08,,Surface,40,Image 1,1,6746,
1.73134e+07,,Surface,40,Image 1,1,6747,
1.84346e+07,,Surface,40,Image 1,1,6748,
5.10317e+08,,Surface,40,Image 1,1,6749,
6.9593e+08,,Surface,40,Image 1,1,6750,
3.7802e+08,,Surface,40,Image 1,1,6751,
3.18775e+08,,Surface,40,Image 1,1,6752,
1.84091e+09,,Surface,40,Image 1,1,6753,
1.02315e+09,,Surface,40,Image 1,1,6754,
697018,,Surface,40,Image 1,1,6755,
4.66436e+09,,Surface,40,Image 1,1,6756,
1.9601e+09,,Surface,40,Image 1,1,6757,
6.12252e+06,,Surface,40,Image 1,1,6758,
7.25726e+08,,Surface,40,Image 1,1,6760,
5.69526e+08,,Surface,40,Image 1,1,6761,
1.72451e+08,,Surface,40,Image 1,1,6762,
4.12295e+09,,Surface,40,Image 1,1,6763,
2.08185e+07,,Surface,40,Image 1,1,6764,
5.09723e+09,,Surface,40,Image 1,1,6765,
8.84197e+08,,Surface,40,Image 1,1,6766,
2.5273e+09,,Surface,40,Image 1,1,6767,
6.38419e+08,,Surface,40,Image 1,1,6768,
6.76055e+08,,Surface,40,Image 1,1,6770,
8.62969e+07,,Surface,40,Image 1,1,6771,
1.55319e+08,,Surface,40,Image 1,1,6772,
7.857e+09,,Surface,40,Image 1,1,6773,
5.07421e+09,,Surface,40,Image 1,1,6774,
1.5672e+10,,Surface,40,Image 1,1,6775,
1.20972e+08,,Surface,40,Image 1,1,6776,
2.60673e+07,,Surface,40,Image 1,1,6777,
7.85514e+08,,Surface,40,Image 1,1,6778,
2.25924e+08,,Surface,40,Image 1,1,6781,
7.95023e+07,,Surface,40,Image 1,1,6782,
2.88084e+09,,Surface,40,Image 1,1,6783,
1.49493e+09,,Surface,40,Image 1,1,6784,
