
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
663.472,µm,Surface,Position,1,6894,
623.418,µm,Surface,Position,1,6895,
605.775,µm,Surface,Position,1,6896,
679.049,µm,Surface,Position,1,6897,
542.791,µm,Surface,Position,1,6898,
646.937,µm,Surface,Position,1,6899,
623.389,µm,Surface,Position,1,6900,
639.086,µm,Surface,Position,1,6901,
646.548,µm,Surface,Position,1,6902,
494.273,µm,Surface,Position,1,6904,
604.951,µm,Surface,Position,1,6905,
605.755,µm,Surface,Position,1,6906,
692.101,µm,Surface,Position,1,6907,
545.14,µm,Surface,Position,1,6908,
488.976,µm,Surface,Position,1,6909,
677.721,µm,Surface,Position,1,6910,
631.675,µm,Surface,Position,1,6911,
494.656,µm,Surface,Position,1,6912,
523.793,µm,Surface,Position,1,6914,
676.041,µm,Surface,Position,1,6915,
616.211,µm,Surface,Position,1,6917,
499.549,µm,Surface,Position,1,6919,
603.039,µm,Surface,Position,1,6920,
603.862,µm,Surface,Position,1,6921,
660.278,µm,Surface,Position,1,6922,
535.525,µm,Surface,Position,1,6923,
501.259,µm,Surface,Position,1,6924,
613.83,µm,Surface,Position,1,6925,
628.086,µm,Surface,Position,1,6926,
552.807,µm,Surface,Position,1,6927,
541.906,µm,Surface,Position,1,6928,
572.265,µm,Surface,Position,1,6929,
670.673,µm,Surface,Position,1,6930,
608.108,µm,Surface,Position,1,6931,
610.148,µm,Surface,Position,1,6932,
621,µm,Surface,Position,1,6933,
554.423,µm,Surface,Position,1,6934,
556.134,µm,Surface,Position,1,6935,
619.492,µm,Surface,Position,1,6936,
618.006,µm,Surface,Position,1,6937,
623.112,µm,Surface,Position,1,6938,
629.717,µm,Surface,Position,1,6939,
613.675,µm,Surface,Position,1,6941,
617.071,µm,Surface,Position,1,6942,
621.715,µm,Surface,Position,1,6943,
639.267,µm,Surface,Position,1,6944,
514.041,µm,Surface,Position,1,6945,
703.933,µm,Surface,Position,1,6946,
557.408,µm,Surface,Position,1,6947,
560.811,µm,Surface,Position,1,6948,
642.502,µm,Surface,Position,1,6949,
634.61,µm,Surface,Position,1,6950,
508.356,µm,Surface,Position,1,6951,
635.538,µm,Surface,Position,1,6952,
665.151,µm,Surface,Position,1,6953,
666.121,µm,Surface,Position,1,6954,
663.626,µm,Surface,Position,1,6955,
635.447,µm,Surface,Position,1,6956,
555.802,µm,Surface,Position,1,6957,
599.406,µm,Surface,Position,1,6958,
668.302,µm,Surface,Position,1,6959,
637.414,µm,Surface,Position,1,6960,
650.688,µm,Surface,Position,1,6961,
641.027,µm,Surface,Position,1,6962,
646.121,µm,Surface,Position,1,6963,
579.971,µm,Surface,Position,1,6964,
582.397,µm,Surface,Position,1,6967,
709.825,µm,Surface,Position,1,6969,
711.688,µm,Surface,Position,1,6970,
563.959,µm,Surface,Position,1,6971,
632.74,µm,Surface,Position,1,6973,
525.13,µm,Surface,Position,1,6974,
676.692,µm,Surface,Position,1,6975,
564.151,µm,Surface,Position,1,6976,
574.767,µm,Surface,Position,1,6977,
511.486,µm,Surface,Position,1,6978,
612.496,µm,Surface,Position,1,6979,
576.355,µm,Surface,Position,1,6980,
509.44,µm,Surface,Position,1,6981,
605.092,µm,Surface,Position,1,6982,
471.715,µm,Surface,Position,1,6983,
700.832,µm,Surface,Position,1,6984,
522.023,µm,Surface,Position,1,6985,
461.848,µm,Surface,Position,1,6986,
531.221,µm,Surface,Position,1,6987,
495.269,µm,Surface,Position,1,6988,
542.677,µm,Surface,Position,1,6989,
707.689,µm,Surface,Position,1,6990,
561.522,µm,Surface,Position,1,6991,
571.413,µm,Surface,Position,1,6992,
569.938,µm,Surface,Position,1,6993,
491.594,µm,Surface,Position,1,6994,
655.825,µm,Surface,Position,1,6995,
483.756,µm,Surface,Position,1,6996,
575.929,µm,Surface,Position,1,6997,
637.376,µm,Surface,Position,1,6998,
465.04,µm,Surface,Position,1,6999,
595.996,µm,Surface,Position,1,7000,
475.186,µm,Surface,Position,1,7001,
498.59,µm,Surface,Position,1,7002,
