
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.678074,,Surface,1,6937,
0.71398,,Surface,1,6938,
0.275103,,Surface,1,6939,
0.600804,,Surface,1,6941,
0.536414,,Surface,1,6942,
0.655187,,Surface,1,6943,
0.337823,,Surface,1,6944,
0.450171,,Surface,1,6945,
0.65846,,Surface,1,6946,
0.677259,,Surface,1,6947,
0.663486,,Surface,1,6948,
0.729181,,Surface,1,6949,
0.388689,,Surface,1,6950,
0.675937,,Surface,1,6951,
0.694455,,Surface,1,6952,
0.66782,,Surface,1,6953,
0.539599,,Surface,1,6954,
0.595765,,Surface,1,6955,
0.430738,,Surface,1,6956,
0.500136,,Surface,1,6957,
0.484393,,Surface,1,6958,
0.676206,,Surface,1,6959,
0.838471,,Surface,1,6960,
0.559817,,Surface,1,6961,
0.630168,,Surface,1,6962,
0.577341,,Surface,1,6963,
0.637346,,Surface,1,6964,
0.610487,,Surface,1,6967,
0.466676,,Surface,1,6969,
0.536188,,Surface,1,6970,
0.422516,,Surface,1,6971,
0.590786,,Surface,1,6973,
0.390795,,Surface,1,6974,
0.363999,,Surface,1,6975,
0.736979,,Surface,1,6976,
0.620573,,Surface,1,6977,
0.26195,,Surface,1,6978,
0.725754,,Surface,1,6979,
0.688793,,Surface,1,6980,
0.566807,,Surface,1,6981,
0.561808,,Surface,1,6982,
0.641176,,Surface,1,6983,
0.490468,,Surface,1,6984,
0.458256,,Surface,1,6985,
0.59023,,Surface,1,6986,
0.733339,,Surface,1,6987,
0.251221,,Surface,1,6988,
0.413458,,Surface,1,6989,
0.740881,,Surface,1,6990,
0.550658,,Surface,1,6991,
0.714439,,Surface,1,6992,
0.657318,,Surface,1,6993,
0.7112,,Surface,1,6994,
0.620678,,Surface,1,6995,
0.572879,,Surface,1,6996,
0.656762,,Surface,1,6997,
0.706137,,Surface,1,6998,
0.611272,,Surface,1,6999,
0.427028,,Surface,1,7000,
0.530652,,Surface,1,7001,
0.578146,,Surface,1,7002,
0.652292,,Surface,1,7003,
0.414707,,Surface,1,7004,
0.460428,,Surface,1,7005,
0.56663,,Surface,1,7006,
0.44177,,Surface,1,7007,
0.584148,,Surface,1,7008,
0.437212,,Surface,1,7009,
0.700302,,Surface,1,7011,
0.573207,,Surface,1,7012,
0.743407,,Surface,1,7013,
0.650103,,Surface,1,7014,
0.397644,,Surface,1,7015,
0.36578,,Surface,1,7016,
0.49622,,Surface,1,7017,
0.796896,,Surface,1,7018,
0.697383,,Surface,1,7019,
0.413936,,Surface,1,7020,
0.364661,,Surface,1,7021,
0.692426,,Surface,1,7022,
0.557823,,Surface,1,7023,
0.712433,,Surface,1,7024,
0.65742,,Surface,1,7025,
0.681896,,Surface,1,7026,
0.527107,,Surface,1,7027,
0.498763,,Surface,1,7028,
0.458534,,Surface,1,7029,
0.462271,,Surface,1,7030,
0.693107,,Surface,1,7031,
0.706927,,Surface,1,7032,
0.483888,,Surface,1,7033,
0.629845,,Surface,1,7035,
0.669203,,Surface,1,7036,
0.703244,,Surface,1,7037,
0.702741,,Surface,1,7038,
0.670648,,Surface,1,7039,
0.46934,,Surface,1,7040,
0.78025,,Surface,1,7041,
0.813455,,Surface,1,7042,
0.737589,,Surface,1,7043,
0.446713,,Surface,1,7044,
0.481981,,Surface,1,7045,
0.594431,,Surface,1,7046,
0.729041,,Surface,1,7047,
0.650132,,Surface,1,7048,
0.554371,,Surface,1,7049,
0.717455,,Surface,1,7050,
0.587963,,Surface,1,7051,
0.77041,,Surface,1,7052,
0.762695,,Surface,1,7053,
0.71544,,Surface,1,7056,
0.641333,,Surface,1,7057,
