
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
189,,Surface,2,Image 1,1,6892,
40,,Surface,2,Image 1,1,6894,
94,,Surface,2,Image 1,1,6895,
115,,Surface,2,Image 1,1,6896,
170,,Surface,2,Image 1,1,6897,
96,,Surface,2,Image 1,1,6898,
55,,Surface,2,Image 1,1,6899,
126,,Surface,2,Image 1,1,6900,
313,,Surface,2,Image 1,1,6901,
160,,Surface,2,Image 1,1,6902,
134,,Surface,2,Image 1,1,6904,
199,,Surface,2,Image 1,1,6905,
239,,Surface,2,Image 1,1,6906,
179,,Surface,2,Image 1,1,6907,
60,,Surface,2,Image 1,1,6908,
112,,Surface,2,Image 1,1,6909,
76,,Surface,2,Image 1,1,6910,
129,,Surface,2,Image 1,1,6911,
152,,Surface,2,Image 1,1,6912,
305,,Surface,2,Image 1,1,6914,
96,,Surface,2,Image 1,1,6915,
91,,Surface,2,Image 1,1,6917,
106,,Surface,2,Image 1,1,6919,
150,,Surface,2,Image 1,1,6920,
0,,Surface,2,Image 1,1,6921,
61,,Surface,2,Image 1,1,6922,
206,,Surface,2,Image 1,1,6923,
210,,Surface,2,Image 1,1,6924,
133,,Surface,2,Image 1,1,6925,
301,,Surface,2,Image 1,1,6926,
121,,Surface,2,Image 1,1,6927,
64,,Surface,2,Image 1,1,6928,
104,,Surface,2,Image 1,1,6929,
279,,Surface,2,Image 1,1,6930,
126,,Surface,2,Image 1,1,6931,
0,,Surface,2,Image 1,1,6932,
251,,Surface,2,Image 1,1,6933,
0,,Surface,2,Image 1,1,6934,
48,,Surface,2,Image 1,1,6935,
128,,Surface,2,Image 1,1,6936,
76,,Surface,2,Image 1,1,6937,
0,,Surface,2,Image 1,1,6938,
50,,Surface,2,Image 1,1,6939,
192,,Surface,2,Image 1,1,6941,
199,,Surface,2,Image 1,1,6942,
142,,Surface,2,Image 1,1,6943,
0,,Surface,2,Image 1,1,6944,
0,,Surface,2,Image 1,1,6945,
0,,Surface,2,Image 1,1,6946,
69,,Surface,2,Image 1,1,6947,
14,,Surface,2,Image 1,1,6948,
150,,Surface,2,Image 1,1,6949,
183,,Surface,2,Image 1,1,6950,
126,,Surface,2,Image 1,1,6951,
216,,Surface,2,Image 1,1,6952,
131,,Surface,2,Image 1,1,6953,
408,,Surface,2,Image 1,1,6954,
367,,Surface,2,Image 1,1,6955,
199,,Surface,2,Image 1,1,6956,
0,,Surface,2,Image 1,1,6957,
158,,Surface,2,Image 1,1,6958,
157,,Surface,2,Image 1,1,6959,
274,,Surface,2,Image 1,1,6960,
144,,Surface,2,Image 1,1,6961,
0,,Surface,2,Image 1,1,6962,
158,,Surface,2,Image 1,1,6963,
92,,Surface,2,Image 1,1,6964,
205,,Surface,2,Image 1,1,6967,
107,,Surface,2,Image 1,1,6969,
129,,Surface,2,Image 1,1,6970,
102,,Surface,2,Image 1,1,6971,
139,,Surface,2,Image 1,1,6973,
786,,Surface,2,Image 1,1,6974,
204,,Surface,2,Image 1,1,6975,
149,,Surface,2,Image 1,1,6976,
151,,Surface,2,Image 1,1,6977,
37,,Surface,2,Image 1,1,6978,
115,,Surface,2,Image 1,1,6979,
108,,Surface,2,Image 1,1,6980,
62,,Surface,2,Image 1,1,6981,
90,,Surface,2,Image 1,1,6982,
143,,Surface,2,Image 1,1,6983,
41,,Surface,2,Image 1,1,6984,
166,,Surface,2,Image 1,1,6985,
101,,Surface,2,Image 1,1,6986,
89,,Surface,2,Image 1,1,6987,
143,,Surface,2,Image 1,1,6988,
244,,Surface,2,Image 1,1,6989,
171,,Surface,2,Image 1,1,6990,
137,,Surface,2,Image 1,1,6991,
102,,Surface,2,Image 1,1,6992,
57,,Surface,2,Image 1,1,6993,
178,,Surface,2,Image 1,1,6994,
160,,Surface,2,Image 1,1,6995,
17,,Surface,2,Image 1,1,6996,
24,,Surface,2,Image 1,1,6997,
120,,Surface,2,Image 1,1,6998,
159,,Surface,2,Image 1,1,6999,
157,,Surface,2,Image 1,1,7000,
113,,Surface,2,Image 1,1,7001,
132,,Surface,2,Image 1,1,7002,
148,,Surface,2,Image 1,1,7003,
212,,Surface,2,Image 1,1,7004,
260,,Surface,2,Image 1,1,7005,
134,,Surface,2,Image 1,1,7006,
159,,Surface,2,Image 1,1,7007,
163,,Surface,2,Image 1,1,7008,
174,,Surface,2,Image 1,1,7009,
28,,Surface,2,Image 1,1,7011,
116,,Surface,2,Image 1,1,7012,
172,,Surface,2,Image 1,1,7013,
142,,Surface,2,Image 1,1,7014,
30,,Surface,2,Image 1,1,7015,
52,,Surface,2,Image 1,1,7016,
86,,Surface,2,Image 1,1,7017,
127,,Surface,2,Image 1,1,7018,
0,,Surface,2,Image 1,1,7019,
129,,Surface,2,Image 1,1,7020,
71,,Surface,2,Image 1,1,7021,
162,,Surface,2,Image 1,1,7022,
0,,Surface,2,Image 1,1,7023,
110,,Surface,2,Image 1,1,7024,
157,,Surface,2,Image 1,1,7025,
33,,Surface,2,Image 1,1,7026,
37,,Surface,2,Image 1,1,7027,
160,,Surface,2,Image 1,1,7028,
312,,Surface,2,Image 1,1,7029,
153,,Surface,2,Image 1,1,7030,
77,,Surface,2,Image 1,1,7031,
132,,Surface,2,Image 1,1,7032,
0,,Surface,2,Image 1,1,7033,
0,,Surface,2,Image 1,1,7035,
36,,Surface,2,Image 1,1,7036,
202,,Surface,2,Image 1,1,7037,
126,,Surface,2,Image 1,1,7038,
114,,Surface,2,Image 1,1,7039,
124,,Surface,2,Image 1,1,7040,
95,,Surface,2,Image 1,1,7041,
130,,Surface,2,Image 1,1,7042,
119,,Surface,2,Image 1,1,7043,
76,,Surface,2,Image 1,1,7044,
155,,Surface,2,Image 1,1,7045,
0,,Surface,2,Image 1,1,7046,
122,,Surface,2,Image 1,1,7047,
187,,Surface,2,Image 1,1,7048,
119,,Surface,2,Image 1,1,7049,
94,,Surface,2,Image 1,1,7050,
0,,Surface,2,Image 1,1,7051,
96,,Surface,2,Image 1,1,7052,
139,,Surface,2,Image 1,1,7053,
0,,Surface,2,Image 1,1,7056,
138,,Surface,2,Image 1,1,7057,
163,,Surface,2,Image 1,1,7058,
52,,Surface,2,Image 1,1,7060,
188,,Surface,2,Image 1,1,7061,
188,,Surface,2,Image 1,1,7062,
151,,Surface,2,Image 1,1,7063,
120,,Surface,2,Image 1,1,7064,
570,,Surface,2,Image 1,1,7065,
213,,Surface,2,Image 1,1,7066,
0,,Surface,2,Image 1,1,7067,
137,,Surface,2,Image 1,1,7068,
144,,Surface,2,Image 1,1,7069,
0,,Surface,2,Image 1,1,7070,
128,,Surface,2,Image 1,1,7071,
0,,Surface,2,Image 1,1,7072,
0,,Surface,2,Image 1,1,7073,
187,,Surface,2,Image 1,1,7075,
81,,Surface,2,Image 1,1,7076,
270,,Surface,2,Image 1,1,7077,
250,,Surface,2,Image 1,1,7078,
0,,Surface,2,Image 1,1,7079,
138,,Surface,2,Image 1,1,7080,
0,,Surface,2,Image 1,1,7081,
134,,Surface,2,Image 1,1,7082,
0,,Surface,2,Image 1,1,7083,
259,,Surface,2,Image 1,1,7084,
157,,Surface,2,Image 1,1,7085,
129,,Surface,2,Image 1,1,7087,
110,,Surface,2,Image 1,1,7088,
71,,Surface,2,Image 1,1,7089,
108,,Surface,2,Image 1,1,7090,
195,,Surface,2,Image 1,1,7091,
97,,Surface,2,Image 1,1,7092,
127,,Surface,2,Image 1,1,7093,
424,,Surface,2,Image 1,1,7094,
81,,Surface,2,Image 1,1,7095,
131,,Surface,2,Image 1,1,7096,
79,,Surface,2,Image 1,1,7097,
343,,Surface,2,Image 1,1,7098,
181,,Surface,2,Image 1,1,7099,
154,,Surface,2,Image 1,1,7101,
122,,Surface,2,Image 1,1,7103,
78,,Surface,2,Image 1,1,7104,
95,,Surface,2,Image 1,1,7105,
452,,Surface,2,Image 1,1,7106,
140,,Surface,2,Image 1,1,7107,
135,,Surface,2,Image 1,1,7108,
2173,,Surface,2,Image 1,1,7109,
124,,Surface,2,Image 1,1,7110,
146,,Surface,2,Image 1,1,7112,
8,,Surface,2,Image 1,1,7114,
179,,Surface,2,Image 1,1,7115,
203,,Surface,2,Image 1,1,7116,
178,,Surface,2,Image 1,1,7117,
270,,Surface,2,Image 1,1,7119,
229,,Surface,2,Image 1,1,7120,
106,,Surface,2,Image 1,1,7121,
271,,Surface,2,Image 1,1,7122,
171,,Surface,2,Image 1,1,7123,
141,,Surface,2,Image 1,1,7124,
36,,Surface,2,Image 1,1,7125,
125,,Surface,2,Image 1,1,7126,
175,,Surface,2,Image 1,1,7127,
146,,Surface,2,Image 1,1,7128,
127,,Surface,2,Image 1,1,7130,
109,,Surface,2,Image 1,1,7132,
48,,Surface,2,Image 1,1,7133,
139,,Surface,2,Image 1,1,7134,
111,,Surface,2,Image 1,1,7136,
108,,Surface,2,Image 1,1,7137,
182,,Surface,2,Image 1,1,7138,
109,,Surface,2,Image 1,1,7139,
207,,Surface,2,Image 1,1,7140,
897,,Surface,2,Image 1,1,7141,
313,,Surface,2,Image 1,1,7142,
0,,Surface,2,Image 1,1,7143,
89,,Surface,2,Image 1,1,7144,
107,,Surface,2,Image 1,1,7145,
122,,Surface,2,Image 1,1,7146,
128,,Surface,2,Image 1,1,7147,
158,,Surface,2,Image 1,1,7148,
61,,Surface,2,Image 1,1,7149,
104,,Surface,2,Image 1,1,7151,
134,,Surface,2,Image 1,1,7152,
175,,Surface,2,Image 1,1,7154,
29,,Surface,2,Image 1,1,7155,
213,,Surface,2,Image 1,1,7156,
150,,Surface,2,Image 1,1,7157,
11,,Surface,2,Image 1,1,7158,
176,,Surface,2,Image 1,1,7159,
180,,Surface,2,Image 1,1,7161,
210,,Surface,2,Image 1,1,7162,
62,,Surface,2,Image 1,1,7163,
0,,Surface,2,Image 1,1,7164,
102,,Surface,2,Image 1,1,7165,
229,,Surface,2,Image 1,1,7166,
208,,Surface,2,Image 1,1,7168,
156,,Surface,2,Image 1,1,7169,
40,,Surface,2,Image 1,1,7170,
196,,Surface,2,Image 1,1,7171,
164,,Surface,2,Image 1,1,7172,
142,,Surface,2,Image 1,1,7173,
83,,Surface,2,Image 1,1,7174,
33,,Surface,2,Image 1,1,7175,
149,,Surface,2,Image 1,1,7176,
106,,Surface,2,Image 1,1,7177,
218,,Surface,2,Image 1,1,7178,
170,,Surface,2,Image 1,1,7179,
0,,Surface,2,Image 1,1,7181,
116,,Surface,2,Image 1,1,7182,
132,,Surface,2,Image 1,1,7183,
0,,Surface,2,Image 1,1,7184,
0,,Surface,2,Image 1,1,7185,
107,,Surface,2,Image 1,1,7187,
0,,Surface,2,Image 1,1,7188,
113,,Surface,2,Image 1,1,7189,
125,,Surface,2,Image 1,1,7190,
225,,Surface,2,Image 1,1,7191,
0,,Surface,2,Image 1,1,7192,
316,,Surface,2,Image 1,1,7193,
167,,Surface,2,Image 1,1,7194,
127,,Surface,2,Image 1,1,7195,
91,,Surface,2,Image 1,1,7196,
22,,Surface,2,Image 1,1,7197,
109,,Surface,2,Image 1,1,7198,
126,,Surface,2,Image 1,1,7199,
721,,Surface,2,Image 1,1,7200,
39,,Surface,2,Image 1,1,7201,
199,,Surface,2,Image 1,1,7202,
44,,Surface,2,Image 1,1,7203,
119,,Surface,2,Image 1,1,7204,
141,,Surface,2,Image 1,1,7205,
217,,Surface,2,Image 1,1,7206,
195,,Surface,2,Image 1,1,7207,
245,,Surface,2,Image 1,1,7208,
82,,Surface,2,Image 1,1,7209,
142,,Surface,2,Image 1,1,7210,
206,,Surface,2,Image 1,1,7211,
350,,Surface,2,Image 1,1,7212,
146,,Surface,2,Image 1,1,7213,
124,,Surface,2,Image 1,1,7214,
464,,Surface,2,Image 1,1,7215,
167,,Surface,2,Image 1,1,7216,
96,,Surface,2,Image 1,1,7217,
490,,Surface,2,Image 1,1,7218,
99,,Surface,2,Image 1,1,7219,
18,,Surface,2,Image 1,1,7220,
607,,Surface,2,Image 1,1,7221,
159,,Surface,2,Image 1,1,7222,
51,,Surface,2,Image 1,1,7223,
97,,Surface,2,Image 1,1,7224,
282,,Surface,2,Image 1,1,7225,
0,,Surface,2,Image 1,1,7226,
120,,Surface,2,Image 1,1,7228,
41,,Surface,2,Image 1,1,7229,
162,,Surface,2,Image 1,1,7230,
0,,Surface,2,Image 1,1,7231,
77,,Surface,2,Image 1,1,7232,
11,,Surface,2,Image 1,1,7233,
76,,Surface,2,Image 1,1,7234,
0,,Surface,2,Image 1,1,7235,
173,,Surface,2,Image 1,1,7236,
0,,Surface,2,Image 1,1,7237,
60,,Surface,2,Image 1,1,7238,
197,,Surface,2,Image 1,1,7239,
0,,Surface,2,Image 1,1,7240,
249,,Surface,2,Image 1,1,7241,
