
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
879.081,µm,Surface,Distance from Origin,1,6858,
889.55,µm,Surface,Distance from Origin,1,6859,
882.084,µm,Surface,Distance from Origin,1,6860,
878.123,µm,Surface,Distance from Origin,1,6861,
885.359,µm,Surface,Distance from Origin,1,6862,
884.379,µm,Surface,Distance from Origin,1,6863,
882.481,µm,Surface,Distance from Origin,1,6864,
878.697,µm,Surface,Distance from Origin,1,6866,
879.942,µm,Surface,Distance from Origin,1,6867,
876.291,µm,Surface,Distance from Origin,1,6868,
880.89,µm,Surface,Distance from Origin,1,6869,
877.315,µm,Surface,Distance from Origin,1,6870,
879.72,µm,Surface,Distance from Origin,1,6871,
894.464,µm,Surface,Distance from Origin,1,6872,
893.075,µm,Surface,Distance from Origin,1,6873,
893.713,µm,Surface,Distance from Origin,1,6874,
884.477,µm,Surface,Distance from Origin,1,6875,
879.443,µm,Surface,Distance from Origin,1,6877,
897.114,µm,Surface,Distance from Origin,1,6878,
882.503,µm,Surface,Distance from Origin,1,6879,
882.73,µm,Surface,Distance from Origin,1,6880,
891.14,µm,Surface,Distance from Origin,1,6881,
894.933,µm,Surface,Distance from Origin,1,6882,
895.684,µm,Surface,Distance from Origin,1,6884,
894.58,µm,Surface,Distance from Origin,1,6885,
897.733,µm,Surface,Distance from Origin,1,6886,
891.344,µm,Surface,Distance from Origin,1,6887,
895.61,µm,Surface,Distance from Origin,1,6888,
899.15,µm,Surface,Distance from Origin,1,6889,
883.097,µm,Surface,Distance from Origin,1,6890,
892.665,µm,Surface,Distance from Origin,1,6891,
899.017,µm,Surface,Distance from Origin,1,6892,
896.374,µm,Surface,Distance from Origin,1,6894,
893.19,µm,Surface,Distance from Origin,1,6895,
887.299,µm,Surface,Distance from Origin,1,6896,
894.018,µm,Surface,Distance from Origin,1,6897,
897.235,µm,Surface,Distance from Origin,1,6898,
900.813,µm,Surface,Distance from Origin,1,6899,
894.892,µm,Surface,Distance from Origin,1,6900,
897.252,µm,Surface,Distance from Origin,1,6901,
899.606,µm,Surface,Distance from Origin,1,6902,
861.461,µm,Surface,Distance from Origin,1,6904,
845.715,µm,Surface,Distance from Origin,1,6905,
849.204,µm,Surface,Distance from Origin,1,6906,
859.712,µm,Surface,Distance from Origin,1,6907,
851.752,µm,Surface,Distance from Origin,1,6908,
850.551,µm,Surface,Distance from Origin,1,6909,
847.338,µm,Surface,Distance from Origin,1,6910,
844.97,µm,Surface,Distance from Origin,1,6911,
861.021,µm,Surface,Distance from Origin,1,6912,
846.31,µm,Surface,Distance from Origin,1,6914,
854.823,µm,Surface,Distance from Origin,1,6915,
850.975,µm,Surface,Distance from Origin,1,6917,
855.12,µm,Surface,Distance from Origin,1,6919,
842.057,µm,Surface,Distance from Origin,1,6920,
849.777,µm,Surface,Distance from Origin,1,6921,
854.659,µm,Surface,Distance from Origin,1,6922,
846.621,µm,Surface,Distance from Origin,1,6923,
855.777,µm,Surface,Distance from Origin,1,6924,
850.459,µm,Surface,Distance from Origin,1,6925,
855.166,µm,Surface,Distance from Origin,1,6926,
854.804,µm,Surface,Distance from Origin,1,6927,
863.682,µm,Surface,Distance from Origin,1,6928,
851.752,µm,Surface,Distance from Origin,1,6929,
862.554,µm,Surface,Distance from Origin,1,6930,
847.716,µm,Surface,Distance from Origin,1,6931,
849.015,µm,Surface,Distance from Origin,1,6932,
854.211,µm,Surface,Distance from Origin,1,6933,
865.841,µm,Surface,Distance from Origin,1,6934,
864.877,µm,Surface,Distance from Origin,1,6935,
854.628,µm,Surface,Distance from Origin,1,6936,
855.514,µm,Surface,Distance from Origin,1,6937,
861.403,µm,Surface,Distance from Origin,1,6938,
858.859,µm,Surface,Distance from Origin,1,6939,
859.234,µm,Surface,Distance from Origin,1,6941,
860.518,µm,Surface,Distance from Origin,1,6942,
862.09,µm,Surface,Distance from Origin,1,6943,
867.831,µm,Surface,Distance from Origin,1,6944,
875.494,µm,Surface,Distance from Origin,1,6945,
868.486,µm,Surface,Distance from Origin,1,6946,
864.597,µm,Surface,Distance from Origin,1,6947,
867.987,µm,Surface,Distance from Origin,1,6948,
862.886,µm,Surface,Distance from Origin,1,6949,
869.203,µm,Surface,Distance from Origin,1,6950,
870.442,µm,Surface,Distance from Origin,1,6951,
856.489,µm,Surface,Distance from Origin,1,6952,
860.046,µm,Surface,Distance from Origin,1,6953,
856.621,µm,Surface,Distance from Origin,1,6954,
862.673,µm,Surface,Distance from Origin,1,6955,
859.364,µm,Surface,Distance from Origin,1,6956,
875.743,µm,Surface,Distance from Origin,1,6957,
862.503,µm,Surface,Distance from Origin,1,6958,
859.704,µm,Surface,Distance from Origin,1,6959,
859.587,µm,Surface,Distance from Origin,1,6960,
866.83,µm,Surface,Distance from Origin,1,6961,
871.053,µm,Surface,Distance from Origin,1,6962,
872.686,µm,Surface,Distance from Origin,1,6963,
860.622,µm,Surface,Distance from Origin,1,6964,
858.234,µm,Surface,Distance from Origin,1,6967,
874.748,µm,Surface,Distance from Origin,1,6969,
884.972,µm,Surface,Distance from Origin,1,6970,
878.412,µm,Surface,Distance from Origin,1,6971,
870.697,µm,Surface,Distance from Origin,1,6973,
869.559,µm,Surface,Distance from Origin,1,6974,
834.497,µm,Surface,Distance from Origin,1,6975,
825.721,µm,Surface,Distance from Origin,1,6976,
820.981,µm,Surface,Distance from Origin,1,6977,
834.324,µm,Surface,Distance from Origin,1,6978,
824.227,µm,Surface,Distance from Origin,1,6979,
829.197,µm,Surface,Distance from Origin,1,6980,
838.49,µm,Surface,Distance from Origin,1,6981,
823.211,µm,Surface,Distance from Origin,1,6982,
832.709,µm,Surface,Distance from Origin,1,6983,
844.138,µm,Surface,Distance from Origin,1,6984,
834.278,µm,Surface,Distance from Origin,1,6985,
836.772,µm,Surface,Distance from Origin,1,6986,
825.555,µm,Surface,Distance from Origin,1,6987,
826.398,µm,Surface,Distance from Origin,1,6988,
828.943,µm,Surface,Distance from Origin,1,6989,
843.63,µm,Surface,Distance from Origin,1,6990,
835.662,µm,Surface,Distance from Origin,1,6991,
830.001,µm,Surface,Distance from Origin,1,6992,
836.644,µm,Surface,Distance from Origin,1,6993,
841.116,µm,Surface,Distance from Origin,1,6994,
839.674,µm,Surface,Distance from Origin,1,6995,
844.136,µm,Surface,Distance from Origin,1,6996,
831.941,µm,Surface,Distance from Origin,1,6997,
825.149,µm,Surface,Distance from Origin,1,6998,
837.05,µm,Surface,Distance from Origin,1,6999,
837.759,µm,Surface,Distance from Origin,1,7000,
833.548,µm,Surface,Distance from Origin,1,7001,
832.462,µm,Surface,Distance from Origin,1,7002,
832.992,µm,Surface,Distance from Origin,1,7003,
839.658,µm,Surface,Distance from Origin,1,7004,
828.848,µm,Surface,Distance from Origin,1,7005,
837.075,µm,Surface,Distance from Origin,1,7006,
826.124,µm,Surface,Distance from Origin,1,7007,
842.987,µm,Surface,Distance from Origin,1,7008,
828.994,µm,Surface,Distance from Origin,1,7009,
832.242,µm,Surface,Distance from Origin,1,7011,
837.08,µm,Surface,Distance from Origin,1,7012,
842.538,µm,Surface,Distance from Origin,1,7013,
842.436,µm,Surface,Distance from Origin,1,7014,
846.58,µm,Surface,Distance from Origin,1,7015,
835.173,µm,Surface,Distance from Origin,1,7016,
844.541,µm,Surface,Distance from Origin,1,7017,
847.666,µm,Surface,Distance from Origin,1,7018,
841.631,µm,Surface,Distance from Origin,1,7019,
848.667,µm,Surface,Distance from Origin,1,7020,
842.75,µm,Surface,Distance from Origin,1,7021,
840.689,µm,Surface,Distance from Origin,1,7022,
842.697,µm,Surface,Distance from Origin,1,7023,
844.343,µm,Surface,Distance from Origin,1,7024,
841.461,µm,Surface,Distance from Origin,1,7025,
850.189,µm,Surface,Distance from Origin,1,7026,
843.408,µm,Surface,Distance from Origin,1,7027,
842.283,µm,Surface,Distance from Origin,1,7028,
840.101,µm,Surface,Distance from Origin,1,7029,
