
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-0.9415,0.85015,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.6725,3.85753,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.4035,12.1839,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.1345,29.0141,µm^3,Cumulative Volume Inside,Image 1,1,,
