
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-0.9415,0.85015,µm^3,Cumulative Volume,Image 1,1,,
-0.6725,3.85753,µm^3,Cumulative Volume,Image 1,1,,
-0.4035,12.1839,µm^3,Cumulative Volume,Image 1,1,,
-0.1345,29.0141,µm^3,Cumulative Volume,Image 1,1,,
0.1345,56.0732,µm^3,Cumulative Volume,Image 1,1,,
0.4035,92.2327,µm^3,Cumulative Volume,Image 1,1,,
0.6725,137.863,µm^3,Cumulative Volume,Image 1,1,,
0.9415,193.317,µm^3,Cumulative Volume,Image 1,1,,
1.2105,258.888,µm^3,Cumulative Volume,Image 1,1,,
1.4795,335.225,µm^3,Cumulative Volume,Image 1,1,,
1.7485,423.027,µm^3,Cumulative Volume,Image 1,1,,
2.0175,522.885,µm^3,Cumulative Volume,Image 1,1,,
2.2865,634.737,µm^3,Cumulative Volume,Image 1,1,,
2.5555,759.464,µm^3,Cumulative Volume,Image 1,1,,
2.8245,896.905,µm^3,Cumulative Volume,Image 1,1,,
3.0935,1047.39,µm^3,Cumulative Volume,Image 1,1,,
3.3625,1211.93,µm^3,Cumulative Volume,Image 1,1,,
3.6315,1391.21,µm^3,Cumulative Volume,Image 1,1,,
3.9005,1583.85,µm^3,Cumulative Volume,Image 1,1,,
4.1695,1789.17,µm^3,Cumulative Volume,Image 1,1,,
4.4385,2006.03,µm^3,Cumulative Volume,Image 1,1,,
4.7075,2234.11,µm^3,Cumulative Volume,Image 1,1,,
4.9765,2473.88,µm^3,Cumulative Volume,Image 1,1,,
5.2455,2724.89,µm^3,Cumulative Volume,Image 1,1,,
5.5145,2987.07,µm^3,Cumulative Volume,Image 1,1,,
5.7835,3258.59,µm^3,Cumulative Volume,Image 1,1,,
6.0525,3538.19,µm^3,Cumulative Volume,Image 1,1,,
6.3215,3826.58,µm^3,Cumulative Volume,Image 1,1,,
6.5905,4122.72,µm^3,Cumulative Volume,Image 1,1,,
6.8595,4425.2,µm^3,Cumulative Volume,Image 1,1,,
7.1285,4733.16,µm^3,Cumulative Volume,Image 1,1,,
7.3975,5045.58,µm^3,Cumulative Volume,Image 1,1,,
7.6665,5360.4,µm^3,Cumulative Volume,Image 1,1,,
7.9355,5675.27,µm^3,Cumulative Volume,Image 1,1,,
8.2045,5991.1,µm^3,Cumulative Volume,Image 1,1,,
8.4735,6304.8,µm^3,Cumulative Volume,Image 1,1,,
8.7425,6616.06,µm^3,Cumulative Volume,Image 1,1,,
9.0115,6919.68,µm^3,Cumulative Volume,Image 1,1,,
9.2805,7215.67,µm^3,Cumulative Volume,Image 1,1,,
9.5495,7501.25,µm^3,Cumulative Volume,Image 1,1,,
9.8185,7778.1,µm^3,Cumulative Volume,Image 1,1,,
10.0875,8048.42,µm^3,Cumulative Volume,Image 1,1,,
10.3565,8311.17,µm^3,Cumulative Volume,Image 1,1,,
10.6255,8568.79,µm^3,Cumulative Volume,Image 1,1,,
10.8945,8819.97,µm^3,Cumulative Volume,Image 1,1,,
11.1635,9066.62,µm^3,Cumulative Volume,Image 1,1,,
11.4325,9307.17,µm^3,Cumulative Volume,Image 1,1,,
11.7015,9543.07,µm^3,Cumulative Volume,Image 1,1,,
11.9705,9772.75,µm^3,Cumulative Volume,Image 1,1,,
12.2395,9997.79,µm^3,Cumulative Volume,Image 1,1,,
12.5085,10220.1,µm^3,Cumulative Volume,Image 1,1,,
12.7775,10438,µm^3,Cumulative Volume,Image 1,1,,
13.0465,10653,µm^3,Cumulative Volume,Image 1,1,,
13.3155,10864.1,µm^3,Cumulative Volume,Image 1,1,,
13.5845,11072,µm^3,Cumulative Volume,Image 1,1,,
13.8535,11275.1,µm^3,Cumulative Volume,Image 1,1,,
14.1225,11474.2,µm^3,Cumulative Volume,Image 1,1,,
14.3915,11670.2,µm^3,Cumulative Volume,Image 1,1,,
14.6605,11861.3,µm^3,Cumulative Volume,Image 1,1,,
14.9295,12048.2,µm^3,Cumulative Volume,Image 1,1,,
15.1985,12229.7,µm^3,Cumulative Volume,Image 1,1,,
15.4675,12406.3,µm^3,Cumulative Volume,Image 1,1,,
15.7365,12576.7,µm^3,Cumulative Volume,Image 1,1,,
16.0055,12742,µm^3,Cumulative Volume,Image 1,1,,
16.2745,12904.6,µm^3,Cumulative Volume,Image 1,1,,
16.5435,13060.6,µm^3,Cumulative Volume,Image 1,1,,
16.8125,13211.2,µm^3,Cumulative Volume,Image 1,1,,
17.0815,13358.2,µm^3,Cumulative Volume,Image 1,1,,
17.3505,13503.1,µm^3,Cumulative Volume,Image 1,1,,
17.6195,13643.4,µm^3,Cumulative Volume,Image 1,1,,
17.8885,13780,µm^3,Cumulative Volume,Image 1,1,,
18.1575,13914.6,µm^3,Cumulative Volume,Image 1,1,,
18.4265,14048.5,µm^3,Cumulative Volume,Image 1,1,,
18.6955,14182.3,µm^3,Cumulative Volume,Image 1,1,,
18.9645,14311.7,µm^3,Cumulative Volume,Image 1,1,,
19.2335,14434.7,µm^3,Cumulative Volume,Image 1,1,,
19.5025,14549.5,µm^3,Cumulative Volume,Image 1,1,,
19.7715,14656.4,µm^3,Cumulative Volume,Image 1,1,,
20.0405,14756,µm^3,Cumulative Volume,Image 1,1,,
20.3095,14846.4,µm^3,Cumulative Volume,Image 1,1,,
20.5785,14928.3,µm^3,Cumulative Volume,Image 1,1,,
20.8475,15002.8,µm^3,Cumulative Volume,Image 1,1,,
21.1165,15070.6,µm^3,Cumulative Volume,Image 1,1,,
21.3855,15130.2,µm^3,Cumulative Volume,Image 1,1,,
21.6545,15182.5,µm^3,Cumulative Volume,Image 1,1,,
21.9235,15228.6,µm^3,Cumulative Volume,Image 1,1,,
