
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-0.9415,0.85015,µm^3,Volume,Image 1,1,,
-0.6725,3.00738,µm^3,Volume,Image 1,1,,
-0.4035,8.32633,µm^3,Volume,Image 1,1,,
-0.1345,16.8303,µm^3,Volume,Image 1,1,,
0.1345,27.059,µm^3,Volume,Image 1,1,,
0.4035,36.1595,µm^3,Volume,Image 1,1,,
0.6725,45.63,µm^3,Volume,Image 1,1,,
0.9415,55.4545,µm^3,Volume,Image 1,1,,
1.2105,65.5706,µm^3,Volume,Image 1,1,,
1.4795,76.3371,µm^3,Volume,Image 1,1,,
1.7485,87.8019,µm^3,Volume,Image 1,1,,
2.0175,99.8583,µm^3,Volume,Image 1,1,,
2.2865,111.852,µm^3,Volume,Image 1,1,,
2.5555,124.727,µm^3,Volume,Image 1,1,,
2.8245,137.44,µm^3,Volume,Image 1,1,,
3.0935,150.485,µm^3,Volume,Image 1,1,,
3.3625,164.543,µm^3,Volume,Image 1,1,,
3.6315,179.281,µm^3,Volume,Image 1,1,,
3.9005,192.637,µm^3,Volume,Image 1,1,,
4.1695,205.321,µm^3,Volume,Image 1,1,,
4.4385,216.858,µm^3,Volume,Image 1,1,,
4.7075,228.082,µm^3,Volume,Image 1,1,,
4.9765,239.766,µm^3,Volume,Image 1,1,,
5.2455,251.014,µm^3,Volume,Image 1,1,,
5.5145,262.181,µm^3,Volume,Image 1,1,,
5.7835,271.514,µm^3,Volume,Image 1,1,,
6.0525,279.607,µm^3,Volume,Image 1,1,,
6.3215,288.385,µm^3,Volume,Image 1,1,,
6.5905,296.138,µm^3,Volume,Image 1,1,,
6.8595,302.484,µm^3,Volume,Image 1,1,,
7.1285,307.961,µm^3,Volume,Image 1,1,,
7.3975,312.42,µm^3,Volume,Image 1,1,,
7.6665,314.818,µm^3,Volume,Image 1,1,,
7.9355,314.872,µm^3,Volume,Image 1,1,,
8.2045,315.828,µm^3,Volume,Image 1,1,,
8.4735,313.703,µm^3,Volume,Image 1,1,,
8.7425,311.255,µm^3,Volume,Image 1,1,,
9.0115,303.619,µm^3,Volume,Image 1,1,,
9.2805,295.992,µm^3,Volume,Image 1,1,,
9.5495,285.581,µm^3,Volume,Image 1,1,,
9.8185,276.85,µm^3,Volume,Image 1,1,,
10.0875,270.318,µm^3,Volume,Image 1,1,,
10.3565,262.754,µm^3,Volume,Image 1,1,,
10.6255,257.615,µm^3,Volume,Image 1,1,,
10.8945,251.184,µm^3,Volume,Image 1,1,,
11.1635,246.646,µm^3,Volume,Image 1,1,,
11.4325,240.559,µm^3,Volume,Image 1,1,,
11.7015,235.892,µm^3,Volume,Image 1,1,,
11.9705,229.686,µm^3,Volume,Image 1,1,,
12.2395,225.04,µm^3,Volume,Image 1,1,,
12.5085,222.262,µm^3,Volume,Image 1,1,,
12.7775,217.981,µm^3,Volume,Image 1,1,,
13.0465,215.011,µm^3,Volume,Image 1,1,,
13.3155,211.014,µm^3,Volume,Image 1,1,,
13.5845,207.969,µm^3,Volume,Image 1,1,,
13.8535,203.106,µm^3,Volume,Image 1,1,,
14.1225,199.092,µm^3,Volume,Image 1,1,,
14.3915,196.001,µm^3,Volume,Image 1,1,,
14.6605,191.098,µm^3,Volume,Image 1,1,,
14.9295,186.908,µm^3,Volume,Image 1,1,,
15.1985,181.43,µm^3,Volume,Image 1,1,,
15.4675,176.63,µm^3,Volume,Image 1,1,,
15.7365,170.356,µm^3,Volume,Image 1,1,,
16.0055,165.392,µm^3,Volume,Image 1,1,,
16.2745,162.52,µm^3,Volume,Image 1,1,,
16.5435,156.025,µm^3,Volume,Image 1,1,,
16.8125,150.609,µm^3,Volume,Image 1,1,,
17.0815,147.025,µm^3,Volume,Image 1,1,,
17.3505,144.893,µm^3,Volume,Image 1,1,,
17.6195,140.266,µm^3,Volume,Image 1,1,,
17.8885,136.66,µm^3,Volume,Image 1,1,,
18.1575,134.571,µm^3,Volume,Image 1,1,,
18.4265,133.857,µm^3,Volume,Image 1,1,,
18.6955,133.792,µm^3,Volume,Image 1,1,,
18.9645,129.47,µm^3,Volume,Image 1,1,,
19.2335,122.946,µm^3,Volume,Image 1,1,,
19.5025,114.838,µm^3,Volume,Image 1,1,,
19.7715,106.906,µm^3,Volume,Image 1,1,,
20.0405,99.617,µm^3,Volume,Image 1,1,,
20.3095,90.3609,µm^3,Volume,Image 1,1,,
20.5785,81.8864,µm^3,Volume,Image 1,1,,
20.8475,74.5314,µm^3,Volume,Image 1,1,,
21.1165,67.7658,µm^3,Volume,Image 1,1,,
21.3855,59.5816,µm^3,Volume,Image 1,1,,
21.6545,52.3663,µm^3,Volume,Image 1,1,,
21.9235,46.087,µm^3,Volume,Image 1,1,,
