
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.40777,,Surface,1,0,
0.672801,,Surface,1,1,
0.383621,,Surface,1,2,
0.243207,,Surface,1,3,
