
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-0.9415,0.4018,µm^3,Volume Inside,Image 1,1,,
-0.6725,1.38793,µm^3,Volume Inside,Image 1,1,,
-0.4035,3.7093,µm^3,Volume Inside,Image 1,1,,
-0.1345,7.27405,µm^3,Volume Inside,Image 1,1,,
