
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.1345,11.7392,µm^3,Volume Outside,Image 1,1,,
0.4035,16.0622,µm^3,Volume Outside,Image 1,1,,
0.6725,20.8532,µm^3,Volume Outside,Image 1,1,,
0.9415,26.0558,µm^3,Volume Outside,Image 1,1,,
1.2105,31.6295,µm^3,Volume Outside,Image 1,1,,
1.4795,37.7888,µm^3,Volume Outside,Image 1,1,,
1.7485,44.5729,µm^3,Volume Outside,Image 1,1,,
2.0175,51.8775,µm^3,Volume Outside,Image 1,1,,
2.2865,59.4052,µm^3,Volume Outside,Image 1,1,,
2.5555,67.7205,µm^3,Volume Outside,Image 1,1,,
2.8245,76.1779,µm^3,Volume Outside,Image 1,1,,
3.0935,85.0726,µm^3,Volume Outside,Image 1,1,,
3.3625,94.7893,µm^3,Volume Outside,Image 1,1,,
3.6315,105.213,µm^3,Volume Outside,Image 1,1,,
3.9005,115.647,µm^3,Volume Outside,Image 1,1,,
4.1695,126.848,µm^3,Volume Outside,Image 1,1,,
4.4385,138.393,µm^3,Volume Outside,Image 1,1,,
4.7075,150.466,µm^3,Volume Outside,Image 1,1,,
4.9765,163.193,µm^3,Volume Outside,Image 1,1,,
5.2455,175.946,µm^3,Volume Outside,Image 1,1,,
5.5145,189.391,µm^3,Volume Outside,Image 1,1,,
5.7835,203.049,µm^3,Volume Outside,Image 1,1,,
6.0525,217.104,µm^3,Volume Outside,Image 1,1,,
6.3215,232.413,µm^3,Volume Outside,Image 1,1,,
6.5905,248.027,µm^3,Volume Outside,Image 1,1,,
6.8595,264.247,µm^3,Volume Outside,Image 1,1,,
7.1285,281.062,µm^3,Volume Outside,Image 1,1,,
7.3975,298.04,µm^3,Volume Outside,Image 1,1,,
7.6665,314.562,µm^3,Volume Outside,Image 1,1,,
7.9355,331.458,µm^3,Volume Outside,Image 1,1,,
8.2045,351.506,µm^3,Volume Outside,Image 1,1,,
8.4735,369.76,µm^3,Volume Outside,Image 1,1,,
8.7425,389.501,µm^3,Volume Outside,Image 1,1,,
9.0115,404.988,µm^3,Volume Outside,Image 1,1,,
9.2805,421.774,µm^3,Volume Outside,Image 1,1,,
9.5495,435.116,µm^3,Volume Outside,Image 1,1,,
9.8185,450.831,µm^3,Volume Outside,Image 1,1,,
10.0875,468.922,µm^3,Volume Outside,Image 1,1,,
10.3565,482.504,µm^3,Volume Outside,Image 1,1,,
10.6255,496.531,µm^3,Volume Outside,Image 1,1,,
10.8945,504.145,µm^3,Volume Outside,Image 1,1,,
11.1635,511.975,µm^3,Volume Outside,Image 1,1,,
11.4325,514.805,µm^3,Volume Outside,Image 1,1,,
11.7015,519.464,µm^3,Volume Outside,Image 1,1,,
11.9705,519.972,µm^3,Volume Outside,Image 1,1,,
12.2395,522.965,µm^3,Volume Outside,Image 1,1,,
12.5085,529.331,µm^3,Volume Outside,Image 1,1,,
12.7775,531.133,µm^3,Volume Outside,Image 1,1,,
13.0465,535.199,µm^3,Volume Outside,Image 1,1,,
13.3155,536.179,µm^3,Volume Outside,Image 1,1,,
13.5845,539.767,µm^3,Volume Outside,Image 1,1,,
13.8535,538.479,µm^3,Volume Outside,Image 1,1,,
14.1225,540.224,µm^3,Volume Outside,Image 1,1,,
14.3915,545.003,µm^3,Volume Outside,Image 1,1,,
14.6605,545.288,µm^3,Volume Outside,Image 1,1,,
14.9295,548.161,µm^3,Volume Outside,Image 1,1,,
15.1985,547.325,µm^3,Volume Outside,Image 1,1,,
15.4675,548.121,µm^3,Volume Outside,Image 1,1,,
15.7365,542.772,µm^3,Volume Outside,Image 1,1,,
16.0055,540.536,µm^3,Volume Outside,Image 1,1,,
16.2745,544.21,µm^3,Volume Outside,Image 1,1,,
16.5435,533.375,µm^3,Volume Outside,Image 1,1,,
16.8125,522.885,µm^3,Volume Outside,Image 1,1,,
17.0815,515.67,µm^3,Volume Outside,Image 1,1,,
17.3505,510.759,µm^3,Volume Outside,Image 1,1,,
17.6195,494.269,µm^3,Volume Outside,Image 1,1,,
17.8885,479.029,µm^3,Volume Outside,Image 1,1,,
18.1575,468.158,µm^3,Volume Outside,Image 1,1,,
18.4265,460.555,µm^3,Volume Outside,Image 1,1,,
18.6955,455.059,µm^3,Volume Outside,Image 1,1,,
18.9645,438.886,µm^3,Volume Outside,Image 1,1,,
19.2335,424.553,µm^3,Volume Outside,Image 1,1,,
19.5025,414.236,µm^3,Volume Outside,Image 1,1,,
19.7715,407.36,µm^3,Volume Outside,Image 1,1,,
20.0405,402.262,µm^3,Volume Outside,Image 1,1,,
20.3095,388.029,µm^3,Volume Outside,Image 1,1,,
20.5785,376.414,µm^3,Volume Outside,Image 1,1,,
20.8475,369.997,µm^3,Volume Outside,Image 1,1,,
21.1165,365.954,µm^3,Volume Outside,Image 1,1,,
21.3855,353.526,µm^3,Volume Outside,Image 1,1,,
21.6545,342.788,µm^3,Volume Outside,Image 1,1,,
21.9235,334.417,µm^3,Volume Outside,Image 1,1,,
22.1925,326.088,µm^3,Volume Outside,Image 1,1,,
22.4615,315.287,µm^3,Volume Outside,Image 1,1,,
22.7305,296.143,µm^3,Volume Outside,Image 1,1,,
22.9995,278.782,µm^3,Volume Outside,Image 1,1,,
23.2685,264.942,µm^3,Volume Outside,Image 1,1,,
23.5375,253.308,µm^3,Volume Outside,Image 1,1,,
23.8065,235.435,µm^3,Volume Outside,Image 1,1,,
24.0755,219.093,µm^3,Volume Outside,Image 1,1,,
24.3445,205.267,µm^3,Volume Outside,Image 1,1,,
24.6135,192.76,µm^3,Volume Outside,Image 1,1,,
24.8825,181.655,µm^3,Volume Outside,Image 1,1,,
25.1515,167.622,µm^3,Volume Outside,Image 1,1,,
25.4205,155.203,µm^3,Volume Outside,Image 1,1,,
25.6895,144.882,µm^3,Volume Outside,Image 1,1,,
25.9585,136.047,µm^3,Volume Outside,Image 1,1,,
26.2275,128.393,µm^3,Volume Outside,Image 1,1,,
26.4965,117.68,µm^3,Volume Outside,Image 1,1,,
26.7655,108.051,µm^3,Volume Outside,Image 1,1,,
27.0345,99.9857,µm^3,Volume Outside,Image 1,1,,
27.3035,92.8183,µm^3,Volume Outside,Image 1,1,,
27.5725,83.605,µm^3,Volume Outside,Image 1,1,,
27.8415,74.6687,µm^3,Volume Outside,Image 1,1,,
28.1105,66.4354,µm^3,Volume Outside,Image 1,1,,
