
Intensity Sum of Square Ch=9 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5.10609e+09,,Surface,9,Image 1,1,0,
6.43906e+08,,Surface,9,Image 1,1,1,
6.5246e+10,,Surface,9,Image 1,1,2,
1.56661e+09,,Surface,9,Image 1,1,3,
1.5513e+07,,Surface,9,Image 1,1,4,
4.40073e+08,,Surface,9,Image 1,1,5,
1.28742e+09,,Surface,9,Image 1,1,6,
2.50982e+08,,Surface,9,Image 1,1,7,
1.95749e+09,,Surface,9,Image 1,1,8,
4.35924e+08,,Surface,9,Image 1,1,9,
1.26345e+09,,Surface,9,Image 1,1,10,
3.50945e+08,,Surface,9,Image 1,1,11,
2.29042e+09,,Surface,9,Image 1,1,12,
8.15206e+08,,Surface,9,Image 1,1,13,
2.73122e+09,,Surface,9,Image 1,1,14,
1.12722e+11,,Surface,9,Image 1,1,15,
