
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
613.025,µm,Surface,Distance from Origin,1,0,
613.271,µm,Surface,Distance from Origin,1,1,
612.064,µm,Surface,Distance from Origin,1,2,
613.074,µm,Surface,Distance from Origin,1,3,
611.749,µm,Surface,Distance from Origin,1,4,
612.242,µm,Surface,Distance from Origin,1,5,
612.842,µm,Surface,Distance from Origin,1,6,
611.063,µm,Surface,Distance from Origin,1,7,
610.509,µm,Surface,Distance from Origin,1,8,
610.101,µm,Surface,Distance from Origin,1,9,
609.806,µm,Surface,Distance from Origin,1,10,
609.438,µm,Surface,Distance from Origin,1,11,
608.715,µm,Surface,Distance from Origin,1,12,
607.654,µm,Surface,Distance from Origin,1,13,
606.975,µm,Surface,Distance from Origin,1,14,
605.865,µm,Surface,Distance from Origin,1,15,
