
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
262,,Surface,3,Image 1,1,0,
300,,Surface,3,Image 1,1,1,
105,,Surface,3,Image 1,1,2,
142,,Surface,3,Image 1,1,3,
195,,Surface,3,Image 1,1,4,
206,,Surface,3,Image 1,1,5,
259,,Surface,3,Image 1,1,6,
212,,Surface,3,Image 1,1,7,
220,,Surface,3,Image 1,1,8,
275,,Surface,3,Image 1,1,9,
243,,Surface,3,Image 1,1,10,
286,,Surface,3,Image 1,1,11,
208,,Surface,3,Image 1,1,12,
174,,Surface,3,Image 1,1,13,
185,,Surface,3,Image 1,1,14,
168,,Surface,3,Image 1,1,15,
