
Intensity StdDev Ch=40 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
281.126,,Surface,40,Image 1,1,0,
127.045,,Surface,40,Image 1,1,1,
480.325,,Surface,40,Image 1,1,2,
134.956,,Surface,40,Image 1,1,3,
306.339,,Surface,40,Image 1,1,4,
223.906,,Surface,40,Image 1,1,5,
128.745,,Surface,40,Image 1,1,6,
157.417,,Surface,40,Image 1,1,7,
147.979,,Surface,40,Image 1,1,8,
162.495,,Surface,40,Image 1,1,9,
247.307,,Surface,40,Image 1,1,10,
165.258,,Surface,40,Image 1,1,11,
338.903,,Surface,40,Image 1,1,12,
231.239,,Surface,40,Image 1,1,13,
221.192,,Surface,40,Image 1,1,14,
754.187,,Surface,40,Image 1,1,15,
