
Intensity Sum of Square Ch=27 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.45807e+08,,Surface,27,Image 1,1,0,
6.5253e+07,,Surface,27,Image 1,1,1,
7.51624e+09,,Surface,27,Image 1,1,2,
1.65881e+08,,Surface,27,Image 1,1,3,
966769,,Surface,27,Image 1,1,4,
9.33068e+06,,Surface,27,Image 1,1,5,
4.31151e+07,,Surface,27,Image 1,1,6,
4.13182e+07,,Surface,27,Image 1,1,7,
2.09477e+08,,Surface,27,Image 1,1,8,
6.19465e+07,,Surface,27,Image 1,1,9,
4.51626e+07,,Surface,27,Image 1,1,10,
1.13962e+07,,Surface,27,Image 1,1,11,
2.24899e+08,,Surface,27,Image 1,1,12,
4.89886e+08,,Surface,27,Image 1,1,13,
4.12047e+08,,Surface,27,Image 1,1,14,
1.8252e+10,,Surface,27,Image 1,1,15,
