
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
89.8093,,Surface,6,Image 1,1,0,
35.8427,,Surface,6,Image 1,1,1,
45.6961,,Surface,6,Image 1,1,2,
183.711,,Surface,6,Image 1,1,3,
63.8407,,Surface,6,Image 1,1,4,
72.7572,,Surface,6,Image 1,1,5,
149.056,,Surface,6,Image 1,1,6,
112.231,,Surface,6,Image 1,1,7,
89.7219,,Surface,6,Image 1,1,8,
36.2023,,Surface,6,Image 1,1,9,
192.521,,Surface,6,Image 1,1,10,
202.015,,Surface,6,Image 1,1,11,
51.2384,,Surface,6,Image 1,1,12,
117.066,,Surface,6,Image 1,1,13,
112.771,,Surface,6,Image 1,1,14,
96.446,,Surface,6,Image 1,1,15,
