
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-1.2105,0.836674,µm^3,Cumulative Volume,Image 1,1,,
-0.9415,3.95675,µm^3,Cumulative Volume,Image 1,1,,
-0.6725,13.6526,µm^3,Cumulative Volume,Image 1,1,,
-0.4035,36.8443,µm^3,Cumulative Volume,Image 1,1,,
-0.1345,78.9695,µm^3,Cumulative Volume,Image 1,1,,
0.1345,142.355,µm^3,Cumulative Volume,Image 1,1,,
0.4035,222.783,µm^3,Cumulative Volume,Image 1,1,,
0.6725,319.131,µm^3,Cumulative Volume,Image 1,1,,
0.9415,430.705,µm^3,Cumulative Volume,Image 1,1,,
1.2105,557.122,µm^3,Cumulative Volume,Image 1,1,,
1.4795,698.918,µm^3,Cumulative Volume,Image 1,1,,
1.7485,856.345,µm^3,Cumulative Volume,Image 1,1,,
2.0175,1030.3,µm^3,Cumulative Volume,Image 1,1,,
2.2865,1219.89,µm^3,Cumulative Volume,Image 1,1,,
2.5555,1425.77,µm^3,Cumulative Volume,Image 1,1,,
2.8245,1647.23,µm^3,Cumulative Volume,Image 1,1,,
3.0935,1884.16,µm^3,Cumulative Volume,Image 1,1,,
3.3625,2137.9,µm^3,Cumulative Volume,Image 1,1,,
3.6315,2409.03,µm^3,Cumulative Volume,Image 1,1,,
3.9005,2695.5,µm^3,Cumulative Volume,Image 1,1,,
4.1695,2995.97,µm^3,Cumulative Volume,Image 1,1,,
4.4385,3308.52,µm^3,Cumulative Volume,Image 1,1,,
4.7075,3631.89,µm^3,Cumulative Volume,Image 1,1,,
4.9765,3964.19,µm^3,Cumulative Volume,Image 1,1,,
5.2455,4303.71,µm^3,Cumulative Volume,Image 1,1,,
5.5145,4651.47,µm^3,Cumulative Volume,Image 1,1,,
5.7835,5007.96,µm^3,Cumulative Volume,Image 1,1,,
6.0525,5373.42,µm^3,Cumulative Volume,Image 1,1,,
6.3215,5749.19,µm^3,Cumulative Volume,Image 1,1,,
6.5905,6135,µm^3,Cumulative Volume,Image 1,1,,
6.8595,6531.16,µm^3,Cumulative Volume,Image 1,1,,
7.1285,6938.37,µm^3,Cumulative Volume,Image 1,1,,
7.3975,7355.56,µm^3,Cumulative Volume,Image 1,1,,
7.6665,7780.53,µm^3,Cumulative Volume,Image 1,1,,
7.9355,8211.1,µm^3,Cumulative Volume,Image 1,1,,
8.2045,8648.56,µm^3,Cumulative Volume,Image 1,1,,
8.4735,9087.69,µm^3,Cumulative Volume,Image 1,1,,
8.7425,9528.63,µm^3,Cumulative Volume,Image 1,1,,
9.0115,9965.84,µm^3,Cumulative Volume,Image 1,1,,
9.2805,10399.4,µm^3,Cumulative Volume,Image 1,1,,
9.5495,10825,µm^3,Cumulative Volume,Image 1,1,,
9.8185,11244.3,µm^3,Cumulative Volume,Image 1,1,,
10.0875,11659.3,µm^3,Cumulative Volume,Image 1,1,,
10.3565,12067,µm^3,Cumulative Volume,Image 1,1,,
10.6255,12469.5,µm^3,Cumulative Volume,Image 1,1,,
10.8945,12862.6,µm^3,Cumulative Volume,Image 1,1,,
