
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.1355,8.46719,µm^3,Cumulative Volume Outside,Image 1,1,,
0.4065,20.1574,µm^3,Cumulative Volume Outside,Image 1,1,,
0.6775,35.2187,µm^3,Cumulative Volume Outside,Image 1,1,,
0.9485,53.5827,µm^3,Cumulative Volume Outside,Image 1,1,,
1.2195,75.4428,µm^3,Cumulative Volume Outside,Image 1,1,,
1.4905,101.029,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7615,130.614,µm^3,Cumulative Volume Outside,Image 1,1,,
2.0325,164.215,µm^3,Cumulative Volume Outside,Image 1,1,,
2.3035,201.995,µm^3,Cumulative Volume Outside,Image 1,1,,
2.5745,244.191,µm^3,Cumulative Volume Outside,Image 1,1,,
2.8455,290.999,µm^3,Cumulative Volume Outside,Image 1,1,,
3.1165,342.352,µm^3,Cumulative Volume Outside,Image 1,1,,
3.3875,397.793,µm^3,Cumulative Volume Outside,Image 1,1,,
3.6585,457.151,µm^3,Cumulative Volume Outside,Image 1,1,,
3.9295,520.514,µm^3,Cumulative Volume Outside,Image 1,1,,
4.2005,587.819,µm^3,Cumulative Volume Outside,Image 1,1,,
4.4715,658.461,µm^3,Cumulative Volume Outside,Image 1,1,,
4.7425,731.285,µm^3,Cumulative Volume Outside,Image 1,1,,
5.0135,805.531,µm^3,Cumulative Volume Outside,Image 1,1,,
5.2845,880.326,µm^3,Cumulative Volume Outside,Image 1,1,,
5.5555,955.689,µm^3,Cumulative Volume Outside,Image 1,1,,
5.8265,1031.88,µm^3,Cumulative Volume Outside,Image 1,1,,
6.0975,1108.49,µm^3,Cumulative Volume Outside,Image 1,1,,
6.3685,1185.55,µm^3,Cumulative Volume Outside,Image 1,1,,
6.6395,1261.74,µm^3,Cumulative Volume Outside,Image 1,1,,
6.9105,1335.86,µm^3,Cumulative Volume Outside,Image 1,1,,
7.1815,1407.94,µm^3,Cumulative Volume Outside,Image 1,1,,
7.4525,1477.73,µm^3,Cumulative Volume Outside,Image 1,1,,
7.7235,1545.53,µm^3,Cumulative Volume Outside,Image 1,1,,
7.9945,1611.67,µm^3,Cumulative Volume Outside,Image 1,1,,
8.2655,1676.35,µm^3,Cumulative Volume Outside,Image 1,1,,
8.5365,1739.59,µm^3,Cumulative Volume Outside,Image 1,1,,
8.8075,1801.41,µm^3,Cumulative Volume Outside,Image 1,1,,
9.0785,1862.63,µm^3,Cumulative Volume Outside,Image 1,1,,
9.3495,1923.25,µm^3,Cumulative Volume Outside,Image 1,1,,
9.6205,1983.31,µm^3,Cumulative Volume Outside,Image 1,1,,
9.8915,2043.42,µm^3,Cumulative Volume Outside,Image 1,1,,
10.1625,2103.11,µm^3,Cumulative Volume Outside,Image 1,1,,
10.4335,2162.01,µm^3,Cumulative Volume Outside,Image 1,1,,
10.7045,2220.84,µm^3,Cumulative Volume Outside,Image 1,1,,
10.9755,2279.29,µm^3,Cumulative Volume Outside,Image 1,1,,
11.2465,2337.07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.5175,2394.86,µm^3,Cumulative Volume Outside,Image 1,1,,
11.7885,2452.42,µm^3,Cumulative Volume Outside,Image 1,1,,
12.0595,2509.46,µm^3,Cumulative Volume Outside,Image 1,1,,
12.3305,2566.6,µm^3,Cumulative Volume Outside,Image 1,1,,
12.6015,2623.62,µm^3,Cumulative Volume Outside,Image 1,1,,
12.8725,2679.95,µm^3,Cumulative Volume Outside,Image 1,1,,
13.1435,2734.18,µm^3,Cumulative Volume Outside,Image 1,1,,
13.4145,2785.15,µm^3,Cumulative Volume Outside,Image 1,1,,
13.6855,2832.11,µm^3,Cumulative Volume Outside,Image 1,1,,
13.9565,2874.89,µm^3,Cumulative Volume Outside,Image 1,1,,
14.2275,2914.14,µm^3,Cumulative Volume Outside,Image 1,1,,
14.4985,2950.04,µm^3,Cumulative Volume Outside,Image 1,1,,
14.7695,2983.16,µm^3,Cumulative Volume Outside,Image 1,1,,
15.0405,3014.41,µm^3,Cumulative Volume Outside,Image 1,1,,
15.3115,3044.12,µm^3,Cumulative Volume Outside,Image 1,1,,
15.5825,3072.59,µm^3,Cumulative Volume Outside,Image 1,1,,
15.8535,3100.61,µm^3,Cumulative Volume Outside,Image 1,1,,
16.1245,3128.44,µm^3,Cumulative Volume Outside,Image 1,1,,
16.3955,3156.32,µm^3,Cumulative Volume Outside,Image 1,1,,
16.6665,3184.49,µm^3,Cumulative Volume Outside,Image 1,1,,
16.9375,3212.42,µm^3,Cumulative Volume Outside,Image 1,1,,
17.2085,3240.38,µm^3,Cumulative Volume Outside,Image 1,1,,
17.4795,3267.95,µm^3,Cumulative Volume Outside,Image 1,1,,
17.7505,3295.44,µm^3,Cumulative Volume Outside,Image 1,1,,
18.0215,3323.1,µm^3,Cumulative Volume Outside,Image 1,1,,
18.2925,3350.38,µm^3,Cumulative Volume Outside,Image 1,1,,
18.5635,3377.56,µm^3,Cumulative Volume Outside,Image 1,1,,
18.8345,3404.94,µm^3,Cumulative Volume Outside,Image 1,1,,
19.1055,3432.04,µm^3,Cumulative Volume Outside,Image 1,1,,
19.3765,3459.05,µm^3,Cumulative Volume Outside,Image 1,1,,
19.6475,3485.35,µm^3,Cumulative Volume Outside,Image 1,1,,
19.9185,3508.01,µm^3,Cumulative Volume Outside,Image 1,1,,
