
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-0.6775,0.765624,µm^3,Cumulative Volume,Image 1,1,,
-0.4065,3.09557,µm^3,Cumulative Volume,Image 1,1,,
-0.1355,8.15359,µm^3,Cumulative Volume,Image 1,1,,
0.1355,16.6208,µm^3,Cumulative Volume,Image 1,1,,
0.4065,28.311,µm^3,Cumulative Volume,Image 1,1,,
0.6775,43.3723,µm^3,Cumulative Volume,Image 1,1,,
0.9485,61.7363,µm^3,Cumulative Volume,Image 1,1,,
1.2195,83.5964,µm^3,Cumulative Volume,Image 1,1,,
1.4905,109.183,µm^3,Cumulative Volume,Image 1,1,,
1.7615,138.768,µm^3,Cumulative Volume,Image 1,1,,
2.0325,172.368,µm^3,Cumulative Volume,Image 1,1,,
2.3035,210.149,µm^3,Cumulative Volume,Image 1,1,,
2.5745,252.345,µm^3,Cumulative Volume,Image 1,1,,
2.8455,299.152,µm^3,Cumulative Volume,Image 1,1,,
3.1165,350.505,µm^3,Cumulative Volume,Image 1,1,,
3.3875,405.946,µm^3,Cumulative Volume,Image 1,1,,
3.6585,465.305,µm^3,Cumulative Volume,Image 1,1,,
3.9295,528.668,µm^3,Cumulative Volume,Image 1,1,,
4.2005,595.973,µm^3,Cumulative Volume,Image 1,1,,
4.4715,666.615,µm^3,Cumulative Volume,Image 1,1,,
4.7425,739.439,µm^3,Cumulative Volume,Image 1,1,,
5.0135,813.685,µm^3,Cumulative Volume,Image 1,1,,
5.2845,888.48,µm^3,Cumulative Volume,Image 1,1,,
5.5555,963.843,µm^3,Cumulative Volume,Image 1,1,,
5.8265,1040.03,µm^3,Cumulative Volume,Image 1,1,,
6.0975,1116.65,µm^3,Cumulative Volume,Image 1,1,,
6.3685,1193.7,µm^3,Cumulative Volume,Image 1,1,,
6.6395,1269.89,µm^3,Cumulative Volume,Image 1,1,,
6.9105,1344.02,µm^3,Cumulative Volume,Image 1,1,,
7.1815,1416.09,µm^3,Cumulative Volume,Image 1,1,,
7.4525,1485.88,µm^3,Cumulative Volume,Image 1,1,,
7.7235,1553.69,µm^3,Cumulative Volume,Image 1,1,,
7.9945,1619.82,µm^3,Cumulative Volume,Image 1,1,,
8.2655,1684.51,µm^3,Cumulative Volume,Image 1,1,,
8.5365,1747.74,µm^3,Cumulative Volume,Image 1,1,,
8.8075,1809.56,µm^3,Cumulative Volume,Image 1,1,,
9.0785,1870.78,µm^3,Cumulative Volume,Image 1,1,,
9.3495,1931.4,µm^3,Cumulative Volume,Image 1,1,,
9.6205,1991.46,µm^3,Cumulative Volume,Image 1,1,,
9.8915,2051.58,µm^3,Cumulative Volume,Image 1,1,,
10.1625,2111.26,µm^3,Cumulative Volume,Image 1,1,,
10.4335,2170.17,µm^3,Cumulative Volume,Image 1,1,,
10.7045,2229,µm^3,Cumulative Volume,Image 1,1,,
10.9755,2287.45,µm^3,Cumulative Volume,Image 1,1,,
11.2465,2345.23,µm^3,Cumulative Volume,Image 1,1,,
11.5175,2403.01,µm^3,Cumulative Volume,Image 1,1,,
11.7885,2460.57,µm^3,Cumulative Volume,Image 1,1,,
12.0595,2517.61,µm^3,Cumulative Volume,Image 1,1,,
12.3305,2574.75,µm^3,Cumulative Volume,Image 1,1,,
12.6015,2631.77,µm^3,Cumulative Volume,Image 1,1,,
12.8725,2688.1,µm^3,Cumulative Volume,Image 1,1,,
13.1435,2742.33,µm^3,Cumulative Volume,Image 1,1,,
13.4145,2793.3,µm^3,Cumulative Volume,Image 1,1,,
13.6855,2840.27,µm^3,Cumulative Volume,Image 1,1,,
13.9565,2883.04,µm^3,Cumulative Volume,Image 1,1,,
14.2275,2922.29,µm^3,Cumulative Volume,Image 1,1,,
14.4985,2958.2,µm^3,Cumulative Volume,Image 1,1,,
14.7695,2991.31,µm^3,Cumulative Volume,Image 1,1,,
15.0405,3022.57,µm^3,Cumulative Volume,Image 1,1,,
15.3115,3052.27,µm^3,Cumulative Volume,Image 1,1,,
15.5825,3080.75,µm^3,Cumulative Volume,Image 1,1,,
15.8535,3108.76,µm^3,Cumulative Volume,Image 1,1,,
16.1245,3136.6,µm^3,Cumulative Volume,Image 1,1,,
16.3955,3164.47,µm^3,Cumulative Volume,Image 1,1,,
16.6665,3192.64,µm^3,Cumulative Volume,Image 1,1,,
16.9375,3220.57,µm^3,Cumulative Volume,Image 1,1,,
17.2085,3248.54,µm^3,Cumulative Volume,Image 1,1,,
17.4795,3276.1,µm^3,Cumulative Volume,Image 1,1,,
17.7505,3303.59,µm^3,Cumulative Volume,Image 1,1,,
18.0215,3331.25,µm^3,Cumulative Volume,Image 1,1,,
18.2925,3358.53,µm^3,Cumulative Volume,Image 1,1,,
18.5635,3385.72,µm^3,Cumulative Volume,Image 1,1,,
18.8345,3413.09,µm^3,Cumulative Volume,Image 1,1,,
19.1055,3440.2,µm^3,Cumulative Volume,Image 1,1,,
19.3765,3467.2,µm^3,Cumulative Volume,Image 1,1,,
19.6475,3493.5,µm^3,Cumulative Volume,Image 1,1,,
19.9185,3516.17,µm^3,Cumulative Volume,Image 1,1,,
