
Intensity Median Ch=38 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
2,,Surface,38,Image 1,1,Class B,0,
214,,Surface,38,Image 1,1,Class B,1,
254,,Surface,38,Image 1,1,Class B,2,
362,,Surface,38,Image 1,1,Class A,3,
