
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Set 1,ID,
55.4553,201.396,23.7879,µm,Surface,Position,1,Class A,3,
58.7313,203.514,26.0265,µm,Surface,Position,1,Class B,0,
57.9874,203.27,25.102,µm,Surface,Position,1,Class B,1,
56.619,202.77,24.9802,µm,Surface,Position,1,Class B,2,
