
Intensity Sum of Square Ch=20 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
616003,,Surface,20,Image 1,1,Class B,0,
170982,,Surface,20,Image 1,1,Class B,1,
7.53769e+06,,Surface,20,Image 1,1,Class B,2,
529014,,Surface,20,Image 1,1,Class A,3,
