
Intensity Sum of Square Ch=12 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
3.20586e+06,,Surface,12,Image 1,1,Class B,0,
9.45863e+07,,Surface,12,Image 1,1,Class B,1,
4.37514e+09,,Surface,12,Image 1,1,Class B,2,
6.65566e+09,,Surface,12,Image 1,1,Class A,3,
