
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
6851,,Surface,1,Image 1,1,Class B,0,
10526,,Surface,1,Image 1,1,Class B,1,
12270,,Surface,1,Image 1,1,Class B,2,
13160,,Surface,1,Image 1,1,Class A,3,
