
Intensity Sum of Square Ch=10 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
3.44732e+07,,Surface,10,Image 1,1,Class B,0,
1.66626e+08,,Surface,10,Image 1,1,Class B,1,
2.72819e+09,,Surface,10,Image 1,1,Class B,2,
3.72991e+09,,Surface,10,Image 1,1,Class A,3,
