
Intensity Sum Ch=15 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
3672,,Surface,15,Image 1,1,Class B,0,
145269,,Surface,15,Image 1,1,Class B,1,
282373,,Surface,15,Image 1,1,Class B,2,
2.09646e+06,,Surface,15,Image 1,1,Class A,3,
