
Intensity StdDev Ch=30 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
191.754,,Surface,30,Image 1,1,Class B,0,
53.4675,,Surface,30,Image 1,1,Class B,1,
35.1777,,Surface,30,Image 1,1,Class B,2,
36.8498,,Surface,30,Image 1,1,Class A,3,
