
Intensity Sum of Square Ch=15 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
874580,,Surface,15,Image 1,1,Class B,0,
7.57336e+07,,Surface,15,Image 1,1,Class B,1,
1.22045e+08,,Surface,15,Image 1,1,Class B,2,
2.69191e+09,,Surface,15,Image 1,1,Class A,3,
