
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
988,,Surface,2,Image 1,1,Class B,0,
1042,,Surface,2,Image 1,1,Class B,1,
1000,,Surface,2,Image 1,1,Class B,2,
1010,,Surface,2,Image 1,1,Class A,3,
