
Intensity Max Ch=39 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
249,,Surface,39,Image 1,1,Class B,0,
435,,Surface,39,Image 1,1,Class B,1,
603,,Surface,39,Image 1,1,Class B,2,
974,,Surface,39,Image 1,1,Class A,3,
