
Intensity Sum of Square Ch=34 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
949,,Surface,34,Image 1,1,Class B,0,
4874,,Surface,34,Image 1,1,Class B,1,
18297,,Surface,34,Image 1,1,Class B,2,
71038,,Surface,34,Image 1,1,Class A,3,
