
Intensity Sum of Square Ch=24 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
55434,,Surface,24,Image 1,1,Class B,0,
467899,,Surface,24,Image 1,1,Class B,1,
5.40085e+06,,Surface,24,Image 1,1,Class B,2,
1.20649e+08,,Surface,24,Image 1,1,Class A,3,
