
Intensity Median Ch=33 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
958,,Surface,33,Image 1,1,Class B,0,
938,,Surface,33,Image 1,1,Class B,1,
1692,,Surface,33,Image 1,1,Class B,2,
948,,Surface,33,Image 1,1,Class A,3,
