
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
142267,,Surface,6,Image 1,1,Class B,0,
1.70225e+06,,Surface,6,Image 1,1,Class B,1,
5.75154e+06,,Surface,6,Image 1,1,Class B,2,
4.32857e+07,,Surface,6,Image 1,1,Class A,3,
