
Intensity Max Ch=25 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
2767,,Surface,25,Image 1,1,Class B,0,
2667,,Surface,25,Image 1,1,Class B,1,
5612,,Surface,25,Image 1,1,Class B,2,
7438,,Surface,25,Image 1,1,Class A,3,
