
Intensity Mean Ch=7 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
0,,Surface,7,Image 1,1,Class B,0,
0.516582,,Surface,7,Image 1,1,Class B,1,
1.852,,Surface,7,Image 1,1,Class B,2,
2.71882,,Surface,7,Image 1,1,Class A,3,
