
Intensity Sum Ch=10 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
138250,,Surface,10,Image 1,1,Class B,0,
321046,,Surface,10,Image 1,1,Class B,1,
1.86597e+06,,Surface,10,Image 1,1,Class B,2,
2.1476e+06,,Surface,10,Image 1,1,Class A,3,
