
Intensity Max Ch=37 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
4531,,Surface,37,Image 1,1,Class B,0,
4706,,Surface,37,Image 1,1,Class B,1,
8945,,Surface,37,Image 1,1,Class B,2,
12498,,Surface,37,Image 1,1,Class A,3,
