
Intensity Sum of Square Ch=16 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
9.1979e+06,,Surface,16,Image 1,1,Class B,0,
2.23532e+07,,Surface,16,Image 1,1,Class B,1,
7.49621e+08,,Surface,16,Image 1,1,Class B,2,
1.97195e+09,,Surface,16,Image 1,1,Class A,3,
