
Intensity Max Ch=35 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
108,,Surface,35,Image 1,1,Class B,0,
83,,Surface,35,Image 1,1,Class B,1,
197,,Surface,35,Image 1,1,Class B,2,
102,,Surface,35,Image 1,1,Class A,3,
