
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
238.797,,Surface,5,Image 1,1,Class B,0,
566.006,,Surface,5,Image 1,1,Class B,1,
1489.89,,Surface,5,Image 1,1,Class B,2,
947.825,,Surface,5,Image 1,1,Class A,3,
