
Intensity Median Ch=21 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
273,,Surface,21,Image 1,1,Class B,0,
794,,Surface,21,Image 1,1,Class B,1,
1616,,Surface,21,Image 1,1,Class B,2,
492,,Surface,21,Image 1,1,Class A,3,
