
Intensity Median Ch=29 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
675,,Surface,29,Image 1,1,Class B,0,
687,,Surface,29,Image 1,1,Class B,1,
1414,,Surface,29,Image 1,1,Class B,2,
684,,Surface,29,Image 1,1,Class A,3,
