
Intensity Sum of Square Ch=31 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
649500,,Surface,31,Image 1,1,Class B,0,
1.94092e+06,,Surface,31,Image 1,1,Class B,1,
2.65843e+06,,Surface,31,Image 1,1,Class B,2,
8.70587e+07,,Surface,31,Image 1,1,Class A,3,
