
Intensity Mean Ch=21 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
399.877,,Surface,21,Image 1,1,Class B,0,
870.318,,Surface,21,Image 1,1,Class B,1,
1740.54,,Surface,21,Image 1,1,Class B,2,
1070.83,,Surface,21,Image 1,1,Class A,3,
