
Intensity StdDev Ch=15 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
21.846,,Surface,15,Image 1,1,Class B,0,
199.289,,Surface,15,Image 1,1,Class B,1,
182.713,,Surface,15,Image 1,1,Class B,2,
641.952,,Surface,15,Image 1,1,Class A,3,
