
Intensity Max Ch=20 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
370,,Surface,20,Image 1,1,Class B,0,
218,,Surface,20,Image 1,1,Class B,1,
540,,Surface,20,Image 1,1,Class B,2,
262,,Surface,20,Image 1,1,Class A,3,
