
Intensity Max Ch=36 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
1453,,Surface,36,Image 1,1,Class B,0,
925,,Surface,36,Image 1,1,Class B,1,
1052,,Surface,36,Image 1,1,Class B,2,
1626,,Surface,36,Image 1,1,Class A,3,
