
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
434.857,,Surface,5,Image 1,1,Class B,0,
581.366,,Surface,5,Image 1,1,Class B,1,
1093.24,,Surface,5,Image 1,1,Class B,2,
1440.06,,Surface,5,Image 1,1,Class A,3,
