
Intensity Sum Ch=34 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
91,,Surface,34,Image 1,1,Class B,0,
320,,Surface,34,Image 1,1,Class B,1,
931,,Surface,34,Image 1,1,Class B,2,
2112,,Surface,34,Image 1,1,Class A,3,
